cw	x	y	cluster_number	silhouette	medoid_label	final_cluster
trial/nn	13.039242223713885	11.800108942512638	7	0.6313866	appeal/nn	appeal/nn
trie/nn	37.92607796337053	-15.97871057302913	2	0.104653515	referrals/nn	referrals/nn
trip/nn	-3.3828364193672416	-20.88962266336814	13	0.24948634	book/nn	book/nn
trouble/nn	-4.089987152983834	14.82694214624092	14	-0.11861191	these/dd	NA
try/nn	-20.175535860153268	-3.842401116240659	5	0.30344746	one/pn	one/pn
tub/nn	-38.39736794095607	11.410673109635965	8	0.0037279846	bag/nn	bag/nn
tune-up/nn	34.061886527871046	8.671929318531209	0	0.3350089	discount/nn	discount/nn
tv/nn	-9.502013945802261	-22.01568928640894	13	0.57187927	book/nn	book/nn
type/nn	-17.50076430704406	10.966417075800255	14	-0.07085533	these/dd	NA
uniform/nn	-41.78406751983149	2.2577168847196187	8	0.4791612	bag/nn	bag/nn
update/nn	-6.837378167324224	-19.7696387339781	13	0.5212735	book/nn	book/nn
upgrade/nn	2.5370481690290445	16.505971129969566	4	0.44042814	service/nn	service/nn
uplift/nn	-0.747658054236169	0.43358532294084073	9	0.35369444	doubt/nn	doubt/nn
variance/nn	2.7833475532648655	9.49191627033858	12	0.29974598	power/nn	power/nn
variety/nn	-17.925344633399284	10.43121826149124	14	-0.012700128	these/dd	NA
verdict/nn	12.573624754560674	12.014001034320573	7	0.6299544	appeal/nn	appeal/nn
veto/nn	25.953859482063763	12.567864373570883	0	0.097440094	discount/nn	discount/nn
view/nn	-2.249619404192218	-2.6150688841350065	9	0.4871984	doubt/nn	doubt/nn
views/nn	35.889832599039096	-21.54351153889173	10	0.11996077	live/nn	live/nn
walking/nn	-38.34925954310073	6.038634381625368	8	0.45981267	bag/nn	bag/nn
warhead/nn	-31.308324490012293	10.532274306262158	6	0.53019637	plant/nn	plant/nn
warning/nn	-11.770047066044771	-9.706876490858939	13	-0.002480881	book/nn	NA
warranty/nn	29.619879455987036	9.46251271551613	0	0.4451044	discount/nn	discount/nn
water/nn	-35.824633362931934	11.92905127030145	6	0.21006407	plant/nn	plant/nn
way/nn	-18.656477916540215	-2.4649484376579784	5	0.5470989	one/pn	one/pn
week/nn	35.209918122258046	-5.677524331427834	3	0.4514549	half/nn	half/nn
whiz/nn	-16.330344039417504	-11.85130297529389	14	0.22811121	these/dd	these/dd
work/nn	0.5332432100795761	17.047929068257897	4	0.16781236	service/nn	service/nn
workout/nn	-21.505716661720516	13.460212066292884	1	0.37526163	drug/nn	drug/nn
world/nn	-11.598703386564722	-14.118967339982103	13	0.08696042	book/nn	book/nn
worth/nn	33.92722016804507	2.6372613758661423	0	0.20953356	discount/nn	discount/nn
year/nn	36.18914968292301	-2.848926667092204	3	0.6504423	half/nn	half/nn
