cw	x	y	cluster_number	silhouette	medoid_label	final_cluster
husband/nn	5.570474081926583	-9.84230447593543	3	0.025509803	wife/nn	wife/nn
individual/nn	-0.05832404278453237	2.110674706996225	5	0.30877608	people/nn	people/nn
iranian/nn	1.1053348331522006	11.16093933876562	4	0.32307386	advance/vv	advance/vv
irvin/np	5.85085998232754	-0.9853013870441614	13	0.5304117	fred/np	fred/np
it/pp	-6.7690900910293275	-2.1688818754690478	14	0.4634987	it/pp	it/pp
judge/nn	1.9020414313442746	6.4259165284807045	6	0.47232935	court/nn	court/nn
jury/nn	1.4209900397189659	5.900678149242214	6	0.65130335	court/nn	court/nn
kid/nn	1.6337181376648302	-6.783909551119162	9	0.57939404	boy/nn	boy/nn
kids/nn	-11.833019050553286	-3.9700663349630885	2	0.6238054	kids/nn	kids/nn
kitty/np	5.249348510879021	-10.771284435409058	3	0.09127977	wife/nn	wife/nn
kurds/np	6.28730118780184	10.290047757100474	0	0.2483729	candidate/nn	candidate/nn
lady/nn	2.884230009542111	-6.84728950177515	9	0.16589792	boy/nn	boy/nn
leland/np	5.936619805775951	-2.198249700535829	13	0.50233394	fred/np	fred/np
lord/np	3.945924875050906	-10.156305897017115	10	0.20915368	mother/nn	mother/nn
mama/nn	3.72161937256	-7.846205493679703	10	0.27956587	mother/nn	mother/nn
man/nn	-0.8137599130989358	-3.607994094236783	11	0.23507506	person/nn	person/nn
management/nn	5.378005814393481	5.950501243639616	8	0.31540716	business/nn	business/nn
mater/nn	5.793553058983795	-0.08223958850947766	12	0.19268502	student/nn	student/nn
matter/nn	0.9020593889153946	5.2602715062846395	6	0.516383	court/nn	court/nn
me/nn	-3.5669702906886487	-2.0203398322756723	7	0.32904002	everybody/pn	everybody/pn
me/pp	-4.007933086401937	-1.887250876220803	7	0.44839486	everybody/pn	everybody/pn
members/nn	-11.241384144723993	-2.9658099669017566	2	0.49058604	kids/nn	kids/nn
member/nn	3.5156945693819392	9.173600381744729	1	0.26819664	team/nn	team/nn
mom/nn	3.970877035056352	-8.219267615347972	10	0.47591612	mother/nn	mother/nn
mom/np	4.702515502717159	-8.43710749593478	10	0.30630165	mother/nn	mother/nn
mother/nn	3.6431733067495995	-8.931816280820097	10	0.43861496	mother/nn	mother/nn
myself/pp	-4.674964120374304	-2.8873463273061404	7	0.45753285	everybody/pn	everybody/pn
nation/nn	0.5450044940328456	9.51487295244369	4	0.46844876	advance/vv	advance/vv
nicaragua/np	0.07139719714839626	10.016501008920903	4	0.53864306	advance/vv	advance/vv
other/nn	-0.6399894951022392	1.1032701201954922	5	0.4275857	people/nn	people/nn
parents/nn	-12.375493565513482	-4.500193030564715	2	0.5942958	kids/nn	kids/nn
parent/nn	2.4793590286894265	-8.037093902772126	10	-0.037703108	mother/nn	NA
peasant/nn	0.6636521024768036	2.5736910426344655	5	0.49758747	people/nn	people/nn
people/nn	-0.29493697839440264	1.4631159924404424	5	0.6054048	people/nn	people/nn
person/nn	-1.1903047275875451	-2.6939072064632343	11	0.45494935	person/nn	person/nn
plaintiff/nn	1.627467932371804	6.179036619897001	6	0.5925503	court/nn	court/nn
planner/nn	4.394754557529351	6.5681738978412	1	0.110864505	team/nn	team/nn
president/np	5.033537799831715	10.903249471521432	0	0.4462352	candidate/nn	candidate/nn
public/nn	-0.4480616738682543	2.0853084044109815	5	0.3279162	people/nn	people/nn
rashad/np	-13.335544479853993	-2.3919884652906473	2	0.34868369	kids/nn	kids/nn
reader/nn	-0.8796616779330307	0.718311374823288	5	0.38502488	people/nn	people/nn
rear/vv	1.3677850623183103	-7.220952750338938	9	0.43766022	boy/nn	boy/nn
russia/np	0.48476224847911803	10.185032438615355	4	0.5585775	advance/vv	advance/vv
ryan/np	4.906482023455141	-10.814680055861817	3	0.05853864	wife/nn	wife/nn
schwartzkopf/np	1.9934538114992042	10.642825855505441	4	0.32265624	advance/vv	advance/vv
scout/nn	1.2834892228230337	-5.900491468050874	9	0.43515387	boy/nn	boy/nn
sister/nn	5.056297658376021	-9.608407941969723	3	-0.09960588	wife/nn	NA
somebody/pn	-3.907290700395456	-3.2799522767039178	7	0.20257773	everybody/pn	everybody/pn
someone/pn	-3.7214897060109546	-3.6712679728815787	11	-0.124683365	person/nn	NA
son/nn	4.021893232329366	-10.381786904588493	10	0.19673724	mother/nn	mother/nn
sons/nn	-13.144902406087073	-3.810911863250263	2	0.5616968	kids/nn	kids/nn
stomach/nn	-3.607461866501488	-3.4526306735263215	7	0.20675173	everybody/pn	everybody/pn
stranger/nn	-2.2280749056650966	-3.4182883697604334	11	0.09959285	person/nn	person/nn
students/nn	-12.783094984959549	-2.0186095433929756	2	0.4786918	kids/nn	kids/nn
student/nn	5.611026615940646	0.3717253984289443	12	0.472808	student/nn	student/nn
taxpayer/nn	6.104981474530349	5.855887715333736	8	0.4782419	business/nn	business/nn
teacher/nn	6.0108058733740695	-0.022978712334417138	12	0.29384202	student/nn	student/nn
team/nn	3.446132907232289	8.901275020500943	1	0.43558884	team/nn	team/nn
that/dd	-6.46136016632725	-2.101550599187132	14	0.3359539	it/pp	it/pp
them/pp	-4.611794269537923	-3.913432976097259	7	0.2620939	everybody/pn	everybody/pn
theory/nn	-6.5575133107247	-1.7740617749348688	14	0.31487527	it/pp	it/pp
things/nn	-10.882780705383144	-3.3824234940403883	2	0.45559496	kids/nn	kids/nn
thing/nn	-7.007209735490519	-2.180156393047041	14	0.47705305	it/pp	it/pp
thomases/np	6.3975029620211235	-8.63031515829772	3	0.18476182	wife/nn	wife/nn
topic/nn	0.6743904856715323	4.983229987611085	6	0.3070982	court/nn	court/nn
trek/np	6.674044589885485	-9.330443040766742	3	0.22987796	wife/nn	wife/nn
troop/nn	1.6496768747799984	10.653457015749082	4	0.4199262	advance/vv	advance/vv
twins/nn	-12.144561077115206	-4.470396346122532	2	0.57512003	kids/nn	kids/nn
twin/nn	4.7307394357625165	-9.538766993264598	10	0.1726305	mother/nn	mother/nn
university/nn	5.550918386816183	-0.09784735033590838	12	1.9784465e-4	student/nn	student/nn
us/pp	-3.9973473154988803	-1.3732097332156756	7	0.17421363	everybody/pn	everybody/pn
veteran/nn	2.812947170156787	9.627477562408462	1	0.18855959	team/nn	team/nn
veto/nn	4.366572107246528	10.800381737741493	0	0.3887739	candidate/nn	candidate/nn
vietnamese/nn	1.9790197985187694	10.789269675991099	4	0.36406195	advance/vv	advance/vv
washington/np	5.847973275747871	-1.0507243252720533	13	0.5605249	fred/np	fred/np
white/nn	0.0073971718720410775	1.6098798637901324	5	0.55496126	people/nn	people/nn
wife/nn	5.42296079652299	-10.615235195945006	3	0.13430244	wife/nn	wife/nn
woman/nn	1.0659717570425513	-5.895520422922536	9	0.34916213	boy/nn	boy/nn
women/nn	-11.35305489715672	-3.82477676907176	2	0.5486277	kids/nn	kids/nn
wwf/np	6.5645286323225545	9.269533956377018	12	0.033670727	student/nn	student/nn
you/pp	-4.792911950362225	-1.6981865224712918	7	0.17207849	everybody/pn	everybody/pn
