	actress/nn	advance/vv	agency/nn	aids/nn	alan/np	america/np	anybody/pn	anyone/pn	anything/pn	arm/nn	army/nn	artist/nn	association/nn	boss/nn	boy/nn	brother/nn	bush/np	business/nn	campaign/nn	candidate/nn	car/nn	charity/nn	child/nn	citizen/nn	city/nn	company/nn	competitor/nn	convict/nn	country/nn	court/nn	criminal/nn	dad/nn	daughter/nn	district/nn	dog/nn	employee/nn	enterprise/nn	entrant/nn	environment/nn	europe/np	everybody/pn	everyone/pn	fbi/np	folk/nn	food/nn	fred/np	friend/nn	girl/nn	government/nn	grandparent/nn	group/nn	grower/nn	grown-up/nn	guy/nn	her/pp	him/pp	horses/nn	household/nn	house/nn	husband/nn	individual/nn	iranian/nn	irvin/np	it/pp	judge/nn	jury/nn	kid/nn	kitty/np	lady/nn	leland/np	lord/np	mama/nn	man/nn	management/nn	mater/nn	matter/nn	me/pp	member/nn	mom/nn	mother/nn	myself/pp	nation/nn	nicaragua/np	other/nn	parent/nn	peasant/nn	people/nn	person/nn	plaintiff/nn	planner/nn	president/np	public/nn	rashad/np	reader/nn	rear/vv	russia/np	ryan/np	schwartzkopf/np	scout/nn	sister/nn	somebody/pn	someone/pn	son/nn	stomach/nn	stranger/nn	student/nn	taxpayer/nn	teacher/nn	team/nn	that/dd	them/pp	theory/nn	thing/nn	thomases/np	topic/nn	trek/np	troop/nn	twin/nn	university/nn	us/pp	veteran/nn	veto/nn	vietnamese/nn	washington/np	white/nn	wife/nn	woman/nn	wwf/np	you/pp
company/nn	3.3032706	1.3480409	0.6038701	1.2041749	2.5521	1.0179342	3.2689984	3.126288	3.4662814	1.5123401	1.2236612	2.2927334	0.8595331	3.255279	3.4045258	4.0251193	2.0171754	0.372828	1.9461216	1.8817027	0.6301439	0.48934883	2.9377458	1.1658841	1.5337906	0.0	0.37797704	2.4310122	1.1991314	1.7733455	2.2178223	3.879818	3.9093661	1.729118	3.3623123	0.6596372	0.6282891	1.6665002	0.98088366	1.3563131	3.4459033	3.2796524	1.0835396	2.7457137	0.25652373	2.6307125	3.9990284	3.4112878	0.9620017	3.706942	1.030073	0.21142113	3.23923	3.0980482	3.3802645	3.2751355	3.5012484	1.008773	1.8889607	3.7791753	1.5535278	1.4122313	2.3885336	3.49438	1.9379444	1.8203216	3.0796576	3.9647124	3.2042906	3.798606	4.025449	3.8935344	2.7632926	0.35934216	2.2946322	1.367518	3.4828959	1.2794975	4.0001945	3.8596175	3.250114	1.2163887	1.4863956	1.524504	3.385714	1.9139854	2.373956	2.670099	1.6791575	0.64084977	2.3840535	2.060611	2.8447528	2.2541819	2.0246644	1.5049534	3.7039163	1.2540125	3.0113757	3.9822311	3.207564	2.858486	3.8188105	3.1875806	3.4371722	1.7619967	0.4672527	1.9557726	0.83608747	3.5774012	2.8992488	1.3925878	3.3022974	3.8269854	1.4644424	2.9931052	1.2625728	3.9750404	1.9508717	2.9456155	1.1390349	1.8284278	1.4812732	2.1613097	1.9908645	3.9328816	2.5401843	2.2092102	3.558964
competitor/nn	3.5112758	1.1252598	0.67817086	1.3779595	2.720501	0.82254523	3.348022	3.185682	3.520941	1.2932538	1.1139263	2.4741364	0.9957212	3.4660115	3.6338031	4.260493	2.026528	0.40218914	1.9352767	1.8689959	0.74791014	0.71347326	3.1680675	1.1660987	1.6271464	0.37797704	0.0	2.6020548	0.99470115	1.8555604	2.3486912	4.1153913	4.1417985	1.8638539	3.5771747	0.93634284	0.45598483	1.6585212	0.9112938	1.1064491	3.507629	3.332108	1.1980808	2.8189638	0.5152878	2.7970526	4.2152224	3.6307588	0.8498718	3.9514601	1.0483277	0.41225448	3.444383	3.247484	3.500581	3.3748758	3.5695221	1.291899	1.9289582	4.005208	1.6716173	1.2279707	2.5523512	3.5492454	2.052319	1.9058717	3.2945948	4.2040963	3.408168	4.034832	4.2587137	4.1214395	2.9356248	0.53077626	2.493023	1.4292531	3.5710888	1.3058388	4.2277822	4.097065	3.3276536	1.0182369	1.2300467	1.584108	3.6281958	1.9593074	2.4442008	2.793837	1.7755532	0.6883724	2.435491	2.0878801	2.99636	2.3469713	2.2820408	1.2818727	3.933025	1.1675613	3.2369819	4.203572	3.3081234	2.966982	4.059098	3.2802114	3.607252	1.9490858	0.67145383	2.1632912	0.9400709	3.6232953	2.9754655	1.4295839	3.35614	4.038955	1.5142437	3.1873605	1.0981599	4.214167	2.116562	3.0492656	1.1908892	1.783631	1.3334436	2.285702	2.1299293	4.155945	2.7200584	2.3712645	3.62879
convict/nn	1.7829148	2.8298223	2.394498	1.4238424	2.0915399	2.6147892	1.275482	1.2613409	1.5413564	2.7290158	2.627163	1.2641828	2.2570539	1.9009105	1.4710222	2.406107	2.449929	2.4250164	2.5997844	2.3822513	2.1675708	2.0809379	1.3313248	1.9625682	2.2638376	2.4310122	2.6020548	0.0	2.7128773	1.9794663	0.45776117	2.0578368	2.176934	2.0497384	1.3153064	1.8526993	2.580823	1.9750519	2.0513563	2.990739	1.5489874	1.4581175	2.1431327	1.1047329	2.3848963	2.2611942	2.2666824	1.3602434	2.428016	2.0605202	2.1331928	2.4687972	1.2891939	0.77959627	1.374848	1.418037	1.4808474	1.5947956	2.4486976	2.1086903	1.00343	2.6156976	2.2161732	1.5655625	1.8821354	1.8054812	1.21833	2.4188206	1.0530254	2.4164417	2.435248	1.9731615	0.48172238	2.4109101	1.7577416	1.6383684	1.5826405	2.1949527	2.0854423	2.1327453	1.4823002	2.7858002	3.0518277	1.2509649	1.7782341	1.2609664	0.9534525	0.51206684	1.9295605	2.561475	2.2260685	1.2954998	1.6308904	1.031737	1.0780406	2.8379996	2.228291	2.5700777	1.0982834	2.2464886	1.1184301	0.81296396	2.275275	1.4304483	1.2816621	1.4838915	2.1366937	1.4093754	2.3139782	1.6889986	1.3203192	1.4767876	1.4263124	2.0687177	1.4690468	1.59521	2.7103438	2.3016334	2.0011253	1.5864888	2.1392074	2.6144886	2.671863	2.201705	0.73709905	2.210862	0.5363552	0.6645378	1.594985
country/nn	3.661027	0.46078303	1.1490227	1.458303	2.8434072	0.28873152	3.2565527	3.0720928	3.375308	0.7565216	0.8786759	2.581968	1.2895141	3.593612	3.7963233	4.427576	1.8636361	1.0351212	1.754089	1.6494309	1.390188	1.1171898	3.3138094	0.8899006	1.716333	1.1991314	0.99470115	2.7128773	0.0	2.053379	2.4133775	4.2777486	4.3285947	2.0251446	3.7176137	1.4913288	0.69456714	1.455194	0.88664937	0.36108077	3.3279612	3.1377933	1.5517175	2.6413236	1.3300011	2.9143476	4.33346	3.783044	0.6531139	4.1249676	0.836429	1.1892256	3.5249705	3.2561738	3.4450827	3.2991226	3.439451	1.8008655	1.8573645	4.1617103	1.7714564	0.7223788	2.68186	3.3988388	2.2310784	2.0899339	3.4001374	4.384474	3.5262983	4.2337556	4.454058	4.282345	3.0064936	1.2105424	2.6209073	1.6182549	3.4541726	1.1243482	4.38243	4.2500114	3.1981297	0.24998139	0.48059097	1.61536	3.802708	1.7469507	2.2994142	2.7901733	2.042831	1.1600784	2.2909653	1.9089135	3.0123796	2.2748916	2.5765543	0.62511176	4.1100817	1.020358	3.405363	4.3608117	3.2278063	2.945056	4.2617016	3.178183	3.6507773	2.0512216	1.2433854	2.3182108	1.2887982	3.4530191	2.8518999	1.5109657	3.214696	4.1471434	1.6227645	3.3315153	0.70359087	4.419112	2.2452874	2.972454	1.1961228	1.5675538	0.97419816	2.3442	2.1141794	4.295053	2.7977097	2.4745646	3.4800842
court/nn	2.5028024	2.056962	1.3270546	1.5677413	1.6072656	1.9739255	2.398422	2.2431087	2.5298975	2.1265461	1.7179738	1.7903792	1.4010569	2.2288814	3.0023503	3.2377148	1.0947931	1.7873073	1.1884137	1.1540368	1.8366469	1.6412355	2.5349605	1.5334046	1.3582451	1.7733455	1.8555604	1.9794663	2.053379	0.0	1.6857606	3.2159357	3.0877674	1.0142641	2.997785	1.3888732	1.869451	1.2692878	1.6626898	2.2239459	2.5300953	2.4357007	0.74062544	2.1713028	1.9106972	1.7561967	2.9763355	2.877132	1.6028671	3.1125927	1.5087378	1.8725992	2.7690294	2.5494113	2.4576175	2.3139658	2.56737	1.7539045	1.0998913	2.8623526	1.476482	1.9259864	1.6368599	2.5471697	0.3617694	0.21706916	2.6856894	3.2585323	2.653917	2.9900265	3.191369	3.2720747	2.3497546	1.5397537	1.7519803	0.84747565	2.437388	1.297232	3.3040588	3.1775827	2.3595896	1.9921205	2.2321546	1.4209578	2.876015	1.8325503	1.9379622	2.206377	0.17751485	1.4103534	1.1672142	1.600385	1.9366955	1.703532	2.093833	2.0397043	2.7952626	1.8958838	2.6980023	3.186452	2.3974035	2.1084628	3.0058708	2.3875206	2.5579405	1.5717802	1.707946	1.674375	1.1239197	2.595147	2.042437	1.2970432	2.4109218	2.797981	1.103216	2.2031853	1.8966244	3.2316043	1.4692733	1.9151338	1.5580614	1.1542456	1.8530091	1.4157275	1.9058018	3.0560083	2.2705002	2.053367	2.545108
criminal/nn	2.029701	2.500825	2.1230035	1.2761202	2.0622447	2.3326526	1.192596	1.0807878	1.4168047	2.3818753	2.3187516	1.358066	2.0625374	2.0493016	1.8893807	2.7112315	2.139372	2.1853418	2.282522	2.0486903	1.9653735	1.8747227	1.6650176	1.6647323	2.0835853	2.2178223	2.3486912	0.45776117	2.4133775	1.6857606	0.0	2.4168196	2.4933481	1.8795352	1.7386241	1.6610125	2.315042	1.6261013	1.7575109	2.682128	1.4636497	1.3362955	1.869144	1.0005094	2.1930246	2.235091	2.5176175	1.7685232	2.0987978	2.4077857	1.8754936	2.253842	1.6515512	1.0590199	1.4373544	1.3498299	1.4148579	1.5188835	2.179266	2.3801157	0.7078044	2.2611082	2.166805	1.4735559	1.6386765	1.5069344	1.5924687	2.7314897	1.4531423	2.6792328	2.732713	2.3528204	0.8636671	2.1716423	1.7944372	1.2989416	1.538818	1.9135568	2.4475253	2.4744794	1.3994844	2.4783294	2.720992	0.9007174	2.12354	1.01257	0.7282131	0.598463	1.6463834	2.2893918	1.962972	0.9507269	1.6695358	0.8745509	1.2981137	2.4873927	2.4776747	2.2907555	1.5240122	2.5676043	1.1213261	0.75176895	2.5682547	1.4095123	1.5204052	1.4448305	1.9110969	1.4508065	2.0620203	1.581001	1.1725987	1.1374407	1.311931	2.3059022	1.1226841	1.7910825	2.389044	2.6372027	1.9224406	1.5129144	1.899005	2.2698407	2.337998	2.074078	0.70179254	2.5019588	0.8759919	0.7694474	1.5322665
dad/nn	0.95234793	4.3779964	3.865321	2.906402	2.1962602	4.1879807	2.4229891	2.6534898	2.7235947	4.3409276	4.0335503	1.8484896	3.420311	1.2909142	0.85203385	0.5671366	3.5050988	4.000296	3.6842687	3.576563	3.6131847	3.5845525	1.0404663	3.5330136	3.1270812	3.879818	4.1153913	2.0578368	4.2777486	3.2159357	2.4168196	0.0	0.5373724	2.8478932	1.1052414	3.307219	4.159208	3.4059463	3.7983217	4.5079675	2.537337	2.6180012	3.4668465	2.4683983	3.8540854	2.271984	0.86988616	0.8830091	4.039624	0.38317338	3.539049	3.9775903	0.9842232	1.8353264	1.8724257	2.3021827	2.5260577	3.0077384	3.3946118	0.68798435	2.8778331	4.2528715	2.4046566	2.7265148	2.9239123	3.1096442	1.0584894	0.60483027	1.1764605	0.89511544	0.7225661	0.32810685	1.8070436	3.885683	1.9815745	3.3191864	2.2653003	3.491947	0.27182218	0.28126562	2.3772635	4.3006697	4.6145644	3.1483846	0.5917738	2.9425197	2.6349084	2.2623184	3.2048433	3.9692645	3.071665	2.99045	1.7388321	2.4292643	1.9812162	4.4064713	0.89348567	3.9578798	1.243583	0.5375828	2.1801314	2.223319	0.6670279	2.139628	1.2498292	2.33865	3.7343962	2.0729887	3.6014974	2.805807	2.4005241	3.326533	2.755439	0.89551634	3.2624507	1.2823254	4.2058163	0.48890558	2.5276334	2.1138654	3.443777	3.840164	4.135449	2.6954541	2.4437385	0.5578172	1.8576137	2.2050886	2.4449763
daughter/nn	0.83140224	4.416342	3.8486485	2.98418	2.052003	4.2311826	2.4831083	2.7000313	2.7646575	4.3988023	4.037531	1.8625116	3.4058442	1.1092961	1.1720515	0.45943555	3.4160597	4.031499	3.6022172	3.515247	3.684601	3.636081	1.2429627	3.5817277	3.0819006	3.9093661	4.1417985	2.176934	4.3285947	3.0877674	2.4933481	0.5373724	0.0	2.7537487	1.4182107	3.331895	4.1869054	3.3989778	3.8436484	4.5531187	2.5830724	2.6755052	3.3977268	2.5612438	3.9083502	2.1335487	0.60688287	1.1080651	4.063921	0.6113374	3.5669904	4.0180397	1.2433275	1.997983	1.9116852	2.3053527	2.581468	3.0937703	3.3027554	0.4448186	2.950858	4.2922187	2.2899141	2.756727	2.7836862	2.9876692	1.3113558	0.5417239	1.3592014	0.7280686	0.5751059	0.6765931	1.9763503	3.8833842	1.942436	3.2813938	2.263327	3.4844718	0.5206155	0.45063144	2.4088638	4.3368874	4.654411	3.1951423	0.826335	3.039559	2.7289588	2.389835	3.0828803	3.9440591	2.9632068	3.0356033	1.6688194	2.476186	2.134356	4.4415765	0.6430547	3.98296	1.4821389	0.34239385	2.2633262	2.295102	0.48767328	2.2144725	1.3159565	2.3718505	3.7869825	2.0994852	3.5576584	2.828298	2.4255567	3.3448544	2.7900436	0.6975079	3.2527857	1.2026743	4.2301044	0.36833936	2.4670236	2.059972	3.4658349	3.7651906	4.146776	2.5971336	2.5763965	0.34994847	2.036165	2.3542223	2.475293
district/nn	2.0927804	2.01083	1.495096	1.3761568	0.91205883	1.9752866	2.545191	2.4987879	2.7735372	2.1097589	1.5479751	1.3262676	0.98571706	1.857211	2.690383	2.807261	0.99113655	1.882128	1.0799598	1.1007578	1.6780204	1.5986146	2.119427	1.4729922	0.5189005	1.729118	1.8638539	2.0497384	2.0251446	1.0142641	1.8795352	2.8478932	2.7537487	0.0	2.7359104	1.3649704	1.927198	1.2453246	1.8735107	2.144107	2.6401882	2.557247	0.9874719	2.1559553	1.8600088	0.9894725	2.6894205	2.6422894	1.7139769	2.6856897	1.2941898	1.8847548	2.4321814	2.5271602	2.381997	2.378742	2.7482634	1.619359	0.729229	2.5271044	1.6515018	1.9865167	0.77207875	2.805575	0.8158947	1.1019076	2.3345923	2.7911606	2.4866378	2.512205	2.7974005	2.9364583	2.2949686	1.6370313	0.97764564	1.432172	2.4820726	1.0374532	2.9706893	2.778245	2.3563886	1.9331168	2.230124	1.7200238	2.436123	1.7897319	1.9857092	2.2964823	1.0543321	1.476327	1.0053422	1.7369791	1.4603996	1.6114653	1.7751583	2.041297	2.3949463	1.6288464	2.440302	2.8224516	2.4573896	2.2151444	2.6041923	2.2423854	2.4270241	0.9154371	1.7802112	1.0446615	1.0471606	2.8573718	2.0194693	1.7074277	2.7014577	2.5358188	1.5980076	1.7967781	1.7967745	2.8553302	0.5112238	1.6796188	1.1807978	1.224379	1.7404339	0.5135456	1.8170325	2.6984186	2.1247041	1.9140099	2.6685588
dog/nn	1.3401215	3.8327577	3.428184	2.3261793	2.3864744	3.6231303	1.8811277	2.0809114	2.1881578	3.743654	3.5656276	1.5497352	3.065506	1.7924607	0.30934626	1.6007174	3.327012	3.437014	3.493024	3.3105588	3.044199	3.037177	0.8506833	2.9703405	2.9329069	3.3623123	3.5771747	1.3153064	3.7176137	2.997785	1.7386241	1.1052414	1.4182107	2.7359104	0.0	2.7992213	3.5971296	2.9588866	3.1664357	3.9698262	2.0459569	2.0604594	3.1462321	1.7958168	3.295988	2.501215	1.7368207	0.40020117	3.5009513	1.195425	3.0586755	3.4256787	0.506836	1.0148963	1.5419253	1.8921442	2.0234544	2.4176004	3.254752	1.5440725	2.1959786	3.6683862	2.5364015	2.185882	2.7895117	2.8542438	0.5050644	1.5775799	0.4913675	1.7939601	1.696568	0.9030232	0.93902856	3.4078138	1.9869952	2.8275836	1.9471081	3.1064339	1.0872867	1.2437454	1.933438	3.7794812	4.069293	2.4705126	0.9990148	2.2255702	1.911019	1.4342192	2.9587412	3.555903	2.988484	2.351628	1.7685888	1.8423481	1.423788	3.8644235	1.7180785	3.442445	0.41275743	1.4160175	1.6107374	1.5989178	1.6071495	1.724087	1.0641977	2.0127122	3.140899	1.796384	3.2514277	2.2965963	1.939739	2.6982982	2.1600425	1.6360707	2.688802	1.4055939	3.6842632	1.444121	2.461455	1.9643407	2.9752967	3.5874171	3.6286297	2.698049	1.6781458	1.5100496	0.9952133	1.3953055	2.045285
employee/nn	2.7394388	1.6032405	0.7482177	0.804507	2.0936036	1.3356826	2.7295196	2.6078181	2.9437602	1.6825664	1.3317806	1.7588818	0.80094165	2.6906202	2.8406322	3.461286	1.781266	0.79262054	1.780786	1.6703234	0.68224525	0.5073733	2.3979707	1.0225052	1.3228666	0.6596372	0.93634284	1.8526993	1.4913288	1.3888732	1.6610125	3.307219	3.331895	1.3649704	2.7992213	0.0	1.0519658	1.3867825	1.0148066	1.7067015	2.923952	2.773925	0.831613	2.2515907	0.67192674	2.1986628	3.4143128	2.826275	1.0941699	3.1586976	0.97698563	0.7362865	2.683165	2.5284607	2.8066044	2.716329	2.9634979	0.56116736	1.6608431	3.1990929	1.0649296	1.5341365	1.982316	2.9676652	1.4948878	1.3928915	2.52821	3.4173486	2.614525	3.2498412	3.4562445	3.3176808	2.1938472	0.6568577	1.8221688	0.98784757	2.927209	1.1329408	3.4210553	3.2979596	2.7166395	1.5014087	1.8073956	1.1156964	2.8418431	1.5286877	1.8933895	2.1272259	1.2809763	0.85388446	2.0178425	1.634008	2.310174	1.7429472	1.5071326	1.7079269	3.1367202	1.3322855	2.4481869	3.4156377	2.651777	2.29975	3.2515576	2.6522706	2.8354692	1.2932917	0.50666213	1.4529357	0.7757382	3.0577862	2.3753798	1.0514624	2.78344	3.2386792	1.0780159	2.4322867	1.4399743	3.405816	1.5626667	2.4136398	0.9867336	1.7112838	1.5570865	1.7975473	1.498851	3.357965	1.9864302	1.6648268	3.01754
enterprise/nn	3.54963	0.94109666	0.6926901	1.3130729	2.7831075	0.47283247	3.310967	3.129156	3.454929	1.177261	1.0461004	2.4880736	1.0578762	3.5049815	3.6606748	4.314204	1.997255	0.38687682	1.9051955	1.8213303	1.0343688	0.6963355	3.1994731	1.0014722	1.6891838	0.6282891	0.45598483	2.580823	0.69456714	1.869451	2.315042	4.159208	4.1869054	1.927198	3.5971296	1.0519658	0.0	1.6040504	0.6820727	0.8981459	3.4412277	3.2575598	1.2512863	2.736246	0.7727471	2.8693562	4.241761	3.6455996	0.6636575	3.999086	0.9010407	0.57652503	3.4546852	3.2102365	3.484905	3.347424	3.5097146	1.4050536	1.9330451	4.0461464	1.6239887	1.0611715	2.6289303	3.46117	2.0783215	1.9057714	3.3074446	4.2641797	3.4049222	4.10475	4.318365	4.1601944	2.910732	0.6208749	2.546863	1.3730134	3.5324512	1.2235851	4.2665486	4.1361046	3.2908	0.7633064	1.0106678	1.4908483	3.675765	1.8423918	2.3610342	2.7417903	1.8044275	0.75146157	2.4103665	1.9879798	3.0167632	2.2958918	2.3446932	1.1136858	3.9838583	1.1458368	3.250433	4.2413216	3.269596	2.939524	4.118294	3.2700372	3.6090147	1.9762661	0.7379417	2.2030382	0.9915093	3.534175	2.9407463	1.3197697	3.2587597	4.06288	1.4211042	3.2232132	0.9807623	4.2684813	2.1816845	3.0421593	1.1911631	1.7235522	1.255003	2.3422058	2.059887	4.193382	2.699891	2.374503	3.5731792
entrant/nn	2.7069068	1.2872009	1.4205114	1.2631658	1.8773191	1.5216727	2.1788936	2.0428553	2.3108993	1.2073354	0.950304	1.7242382	1.2754624	2.5919852	3.0371687	3.492622	0.8832434	1.6771668	0.940768	0.64600015	1.5272785	1.4444712	2.595802	0.77009463	1.1982563	1.6665002	1.6585212	1.9750519	1.455194	1.2692878	1.6261013	3.4059463	3.3989778	1.2453246	2.9588866	1.3867825	1.6040504	0.0	1.3948076	1.5625663	2.2126873	2.0602727	1.1825892	1.6706494	1.7774719	1.9678893	3.3325365	2.9601405	1.0715647	3.3163774	0.92981666	1.7535682	2.7195916	2.3883355	2.283463	2.0846562	2.3876185	1.7008133	1.001979	3.2042294	1.2753792	1.0565256	1.7970746	2.3757834	1.3237257	1.271053	2.6433125	3.4870117	2.692201	3.3047767	3.513558	3.4110863	2.2346408	1.598564	1.8045553	1.1649709	2.24556	0.67188	3.482225	3.380498	2.003281	1.3647882	1.5417076	1.1791724	3.029238	1.1151717	1.419832	1.99119	1.324249	1.4114057	1.1106342	0.9732759	1.8963625	1.2658762	2.1141183	1.2154068	3.1582403	1.0313085	2.7013133	3.4402602	2.1636784	1.9277089	3.3492558	2.0069094	2.6030858	1.3540826	1.5291663	1.5970297	1.202703	2.4120817	1.6478844	1.2526591	2.2474778	3.1431093	1.2062627	2.3641558	1.0810127	3.5204158	1.4795465	1.7150048	0.829559	0.8962244	0.90377915	1.4366623	1.5557129	3.3385372	2.0863087	1.7275295	2.3529959
environment/nn	3.2385519	1.147938	0.9222347	1.0039852	2.6396263	0.7093697	2.7521758	2.5474033	2.875811	1.2200463	1.2650486	2.1995606	1.248511	3.2067585	3.2622302	4.0063143	1.930172	0.72124726	1.9002409	1.7393271	1.1240402	0.7667582	2.846517	0.8065971	1.7471	0.98088366	0.9112938	2.0513563	0.88664937	1.6626898	1.7575109	3.7983217	3.8436484	1.8735107	3.1664357	1.0148066	0.6820727	1.3948076	0.0	1.197594	2.8962367	2.707323	1.2543074	2.221893	1.0415962	2.7610567	3.8858798	3.2226954	0.77471477	3.6714668	0.9069572	0.9382535	3.0397525	2.677073	3.001216	2.8534434	2.936465	1.2476754	1.9291778	3.7073867	1.0860907	1.0884764	2.5522144	2.8829007	1.8648338	1.6270623	2.9091144	3.9736795	2.9520264	3.846029	4.0155964	3.777693	2.4013097	0.9267288	2.3798733	0.96695834	3.0301015	1.2324141	3.8848898	3.7959638	2.8039124	1.029742	1.259377	0.90974593	3.3478491	1.3591483	1.8281013	2.1764672	1.597758	1.1072651	2.225377	1.4953952	2.7169828	1.854742	2.0366821	1.2316501	3.6920645	1.3396975	2.8419557	3.898781	2.7257957	2.394335	3.8195858	2.8105102	3.1384113	1.7860849	0.8072354	1.9924414	1.1730617	2.9588463	2.4727063	0.7358347	2.6730812	3.6923056	0.8989534	2.91969	1.1989005	3.946716	2.115843	2.6697288	1.248301	1.7203205	1.3706867	2.2783318	1.5649548	3.8499546	2.2277822	1.9305959	3.0267076
europe/np	3.8664951	0.34015706	1.328348	1.7358346	2.9728994	0.5844683	3.4685469	3.2899165	3.584022	0.6800628	0.8437487	2.7868106	1.4190857	3.7887125	4.0459323	4.6352644	1.9148922	1.2447417	1.7794404	1.7017797	1.5163413	1.366886	3.55304	1.1173853	1.7892799	1.3563131	1.1064491	2.990739	0.36108077	2.2239459	2.682128	4.5079675	4.5531187	2.144107	3.9698262	1.7067015	0.8981459	1.5625663	1.197594	0.0	3.5265048	3.3385155	1.7128061	2.85812	1.4916341	3.024977	4.549287	4.037005	0.8221622	4.353851	1.0398766	1.360755	3.7659876	3.5125268	3.6458807	3.4954271	3.6511393	2.0416572	1.9074118	4.3778477	2.051907	0.7375661	2.7872834	3.6149008	2.399721	2.2820756	3.6451423	4.5917788	3.7856135	4.4248915	4.6599426	4.517419	3.2742422	1.3925701	2.781928	1.8691083	3.644096	1.2431799	4.614636	4.477624	3.3789682	0.29542407	0.25747222	1.8950269	4.0331717	1.9811201	2.5313573	3.0534148	2.2235937	1.2730445	2.3832152	2.1204653	3.1756444	2.4859815	2.8312802	0.5108834	4.311059	0.98270005	3.6653817	4.5813093	3.4478314	3.1769843	4.4718065	3.3507347	3.8802578	2.2366586	1.4609394	2.513506	1.4235966	3.660492	3.0316913	1.7977335	3.440898	4.365351	1.8962915	3.5305376	0.638313	4.640059	2.3664598	3.1288972	1.2894646	1.597001	0.90012974	2.432395	2.3878205	4.511712	3.0607955	2.7157776	3.6780543
everybody/pn	2.1874456	3.2928338	3.2808034	2.4536731	2.4904997	3.3362823	0.46672913	0.60586137	0.44690958	3.0937462	3.098285	1.948039	3.1000273	2.2740762	2.2225018	2.7604256	2.6053517	3.4155478	2.7968924	2.546311	3.142231	3.1039975	2.2128303	2.576706	2.8580637	3.4459033	3.507629	1.5489874	3.3279612	2.5300953	1.4636497	2.537337	2.5830724	2.6401882	2.0459569	2.923952	3.4412277	2.2126873	2.8962367	3.5265048	0.0	0.22274943	2.923777	0.85993534	3.4569972	2.6308482	2.4726963	2.0243857	3.0612574	2.6634123	2.8138857	3.5026114	1.9006491	1.1651938	0.74329257	0.56067985	0.50063986	2.8558812	2.7435029	2.4786491	2.0123131	3.0076735	2.6671371	0.6213793	2.4056313	2.3640513	1.9898868	2.834162	1.7429782	2.8392563	2.8067229	2.4266756	1.4604111	3.3951852	2.4031653	2.4141197	0.47291005	2.7168121	2.4728315	2.5982356	0.4686098	3.3507788	3.5140648	2.0701845	2.4960155	1.7265143	1.1679465	1.1857442	2.573306	3.3897846	2.2197468	1.4936906	1.7389995	1.3179957	2.433269	3.2066605	2.6300802	3.058852	2.0708013	2.577979	0.51271963	0.80879545	2.7487583	0.74817103	1.3170508	2.2834585	3.1653354	2.2645383	3.112411	0.62025356	0.7049336	2.3132255	0.7530267	2.2956636	2.256826	2.0299423	3.1717925	2.7547789	2.6048875	1.2244939	2.753117	2.8441954	2.9941432	2.5852704	1.7570915	2.5122952	1.624547	1.6549567	0.38349044
everyone/pn	2.2387311	3.1055396	3.122789	2.2958348	2.478904	3.1472974	0.4888853	0.5367346	0.47652626	2.9018064	2.9302583	1.8864406	2.9591773	2.3363283	2.2472012	2.8545597	2.5069354	3.2391036	2.690059	2.427964	2.97945	2.935474	2.2107542	2.396226	2.750856	3.2796524	3.332108	1.4581175	3.1377933	2.4357007	1.3362955	2.6180012	2.6755052	2.557247	2.0604594	2.773925	3.2575598	2.0602727	2.707323	3.3385155	0.22274943	0.0	2.7948132	0.6938648	3.2893372	2.6218483	2.5867913	2.0601504	2.8798392	2.725162	2.646382	3.3309126	1.9217949	1.1377714	0.85512537	0.63736	0.57559514	2.711012	2.6485298	2.5720341	1.8458402	2.8167846	2.6363819	0.6300065	2.3331113	2.2684135	1.9910474	2.916323	1.7586299	2.9174974	2.9005525	2.5049431	1.3975232	3.233621	2.3636982	2.2642663	0.6360317	2.5676923	2.565111	2.6764195	0.5093863	3.1661665	3.3241076	1.8898028	2.533949	1.5326729	0.9800827	1.0680861	2.4744947	3.2339752	2.160146	1.3035995	1.7536885	1.177163	2.3459036	3.0204062	2.7120323	2.8882914	2.0540595	2.6698785	0.53039575	0.7430285	2.8311183	0.78035915	1.4102069	2.1848266	2.9933002	2.1857142	2.9708352	0.64952046	0.6458967	2.1385329	0.69278276	2.4041913	2.093256	2.0524633	2.992258	2.8401523	2.5362282	1.243969	2.596951	2.7217884	2.8204913	2.5294485	1.6030937	2.6120691	1.5389882	1.5307512	0.5436066
