type_word	cluster_number	silhouette	medoid_label
sources/nn	10	0.1616717	live/nn
source/nn	14	0.2084893	these/dd
space/nn	6	0.32810825	plant/nn
specs/nn	10	0.36903945	live/nn
spec/nn	8	0.4613048	bag/nn
speech/nn	13	0.25014663	book/nn
spiel/nn	2	0.15232965	referrals/nn
spot/nn	8	0.09095702	bag/nn
steak/nn	11	0.6748814	orange/nn
stimulation/nn	1	0.5994301	drug/nn
stipend/nn	0	0.4248407	discount/nn
stock/nn	0	0.47216	discount/nn
story/nn	13	0.5168789	book/nn
strength/nn	12	0.31240165	power/nn
stroke/nn	1	0.57685906	drug/nn
stuff/nn	5	0.41955566	one/pn
subscription/nn	13	0.4436964	book/nn
subtitle/nn	13	0.50066227	book/nn
sudafed/np	2	-0.034086313	referrals/nn
suit/nn	8	0.4713989	bag/nn
supplies/nn	2	0.31651387	referrals/nn
supply/nn	6	0.51636046	plant/nn
support/nn	12	0.36903194	power/nn
sweatshirt/nn	8	0.48436826	bag/nn
sympathy/nn	9	0.23369597	doubt/nn
synopsis/nn	13	0.54018646	book/nn
system/nn	4	0.39371598	service/nn
talent/nn	12	0.2557068	power/nn
talk/nn	13	0.1731216	book/nn
tang/nn	11	0.75635105	orange/nn
tank/nn	6	0.41745475	plant/nn
tape/nn	13	0.4725477	book/nn
tariff/nn	0	0.47684488	discount/nn
tartness/nn	11	0.5889793	orange/nn
tax-credit/nn	0	0.4297374	discount/nn
tax-cut/nn	2	0.012699828	referrals/nn
tax/nn	0	0.5146471	discount/nn
television/nn	13	0.5737061	book/nn
tempt/vv	5	0.40274668	one/pn
ten/mc	3	0.6712744	half/nn
test/nn	1	0.26896137	drug/nn
testing/nn	1	0.38171342	drug/nn
that/dd	5	0.4443067	one/pn
them/pp	5	0.35194516	one/pn
therapy/nn	1	0.62507915	drug/nn
these/dd	14	0.33902097	these/dd
thing/nn	5	0.6697145	one/pn
things/nn	10	0.475586	live/nn
this/dd	13	0.18041807	book/nn
those/dd	14	0.18728164	these/dd
thought/nn	9	0.4654712	doubt/nn
thoughts/nn	10	0.21888623	live/nn
thrust/nn	12	0.26140946	power/nn
thumbs-down/nn	0	0.1808717	discount/nn
ticket/nn	0	0.2761111	discount/nn
time-off/nn	10	0.18611751	live/nn
time/nn	3	0.65899897	half/nn
times/nn	10	0.3339646	live/nn
tip/nn	14	0.20544364	these/dd
title/nn	13	0.49800774	book/nn
titles/nn	2	0.19671197	referrals/nn
tomatoes/nn	2	0.12773524	referrals/nn
tomato/nn	11	0.7568166	orange/nn
ton/nn	6	0.46817347	plant/nn
topic/nn	13	0.09197089	book/nn
toyota/np	6	0.5341775	plant/nn
traction/nn	12	0.3325066	power/nn
training/nn	4	0.12773672	service/nn
transfusion/nn	1	0.5825088	drug/nn
transportation/nn	4	0.4302892	service/nn
treat/nn	11	0.54931843	orange/nn
trial/nn	7	0.6313866	appeal/nn
trie/nn	2	0.104653515	referrals/nn
trip/nn	13	0.24948634	book/nn
trouble/nn	14	-0.11861191	these/dd
try/nn	5	0.30344746	one/pn
tub/nn	8	0.0037279846	bag/nn
tune-up/nn	0	0.3350089	discount/nn
tv/nn	13	0.57187927	book/nn
type/nn	14	-0.07085533	these/dd
uniform/nn	8	0.4791612	bag/nn
update/nn	13	0.5212735	book/nn
upgrade/nn	4	0.44042814	service/nn
uplift/nn	9	0.35369444	doubt/nn
variance/nn	12	0.29974598	power/nn
variety/nn	14	-0.012700128	these/dd
verdict/nn	7	0.6299544	appeal/nn
veto/nn	0	0.097440094	discount/nn
view/nn	9	0.4871984	doubt/nn
views/nn	10	0.11996077	live/nn
walking/nn	8	0.45981267	bag/nn
warhead/nn	6	0.53019637	plant/nn
warning/nn	13	-0.002480881	book/nn
warranty/nn	0	0.4451044	discount/nn
water/nn	6	0.21006407	plant/nn
way/nn	5	0.5470989	one/pn
week/nn	3	0.4514549	half/nn
whiz/nn	14	0.22811121	these/dd
work/nn	4	0.16781236	service/nn
workout/nn	1	0.37526163	drug/nn
world/nn	13	0.08696042	book/nn
worth/nn	0	0.20953356	discount/nn
year/nn	3	0.6504423	half/nn
