cluster_number	medoid_label	silhouette	type_word
11	tang/nn	0.65601903	orange/nn
5	jurisdiction/nn	0.4363757	order/nn
0	thrust/nn	0.32385918	ours/pp
14	one/pn	0.36819866	out/nn
10	discount/nn	0.1406568	outlook/nn
3	pat/nn	0.17346515	pad/nn
3	pat/nn	0.24012439	paint/nn
3	pat/nn	0.48863688	pair/nn
12	list/nn	0.07737114	paper/nn
2	drainage/nn	0.14463517	parking/nn
5	jurisdiction/nn	0.67107373	parole/nn
12	list/nn	0.11210074	part/nn
9	worth/nn	0.08448119	passes/nn
3	pat/nn	0.41216812	pat/nn
1	access/nn	-0.022068312	patronage/nn
10	discount/nn	0.49051577	pay/nn
0	thrust/nn	-0.1285989	payback/nn
10	discount/nn	0.37908173	paycheck/nn
10	discount/nn	0.5430093	payment/nn
0	thrust/nn	0.36916617	peace/nn
5	jurisdiction/nn	0.65182984	penalty/nn
7	transfusion/nn	0.6259807	penicillin/nn
9	worth/nn	0.53264	penny/nn
9	worth/nn	0.41772103	percent/nn
5	jurisdiction/nn	0.10321423	permission/nn
5	jurisdiction/nn	0.08152619	permit/nn
6	experience/nn	0.4351549	perspective/nn
3	pat/nn	-0.023163378	pet/nn
10	discount/nn	0.18538746	physical/nn
4	broadcast/nn	0.27408957	picture/nn
12	list/nn	0.087928675	piece/nn
7	transfusion/nn	0.6194662	pill/nn
2	drainage/nn	0.11434261	pipe/nn
2	drainage/nn	0.15026349	place/nn
0	thrust/nn	0.147214	plan/nn
2	drainage/nn	0.3690244	plant/nn
3	pat/nn	0.16603287	plate/nn
9	worth/nn	0.2105324	point/nn
3	pat/nn	0.12618788	poke/nn
0	thrust/nn	0.32006255	policy/nn
3	pat/nn	0.4656333	pony/nn
13	activity/nn	-0.045638762	potential/nn
0	thrust/nn	0.012363042	power/nn
0	thrust/nn	0.36168078	preference/nn
7	transfusion/nn	0.59759444	prescription/nn
3	pat/nn	0.21063742	present/nn
10	discount/nn	-0.11386125	price/nn
12	list/nn	0.353965	printout/nn
13	activity/nn	0.2330499	problem/nn
0	thrust/nn	0.029487379	process/nn
