type_word	cluster_number	silhouette	medoid_label
obit/nn	4	0.4334291	paycheck/nn
offer/nn	2	0.8362346	decision/nn
oil/nn	0	-0.10853595	equipment/nn
one/nn	8	0.5384471	process/nn
one/pn	10	0.07003309	year/nn
opportunities/nn	4	0.32701287	paycheck/nn
opportunity/nn	13	-0.0117079485	that/dd
option/nn	0	0.11412295	equipment/nn
orange/nn	0	0.22514777	equipment/nn
order/nn	7	0.3430265	custody/nn
ours/pp	5	0.6301791	description/nn
out/nn	8	0.2667677	process/nn
outlook/nn	9	0.67215645	recipe/nn
pad/nn	3	0.6292386	pat/nn
paint/nn	3	0.603793	pat/nn
pair/nn	5	0.6058138	description/nn
paper/nn	8	0.49658778	process/nn
parking/nn	1	0.44976324	leeway/nn
parole/nn	9	0.3659773	recipe/nn
part/nn	5	0.69326264	description/nn
parts/nn	13	-0.0007412021	that/dd
passes/nn	3	0.44394603	pat/nn
pat/nn	3	0.6673621	pat/nn
patronage/nn	0	-0.026274461	equipment/nn
pay/nn	9	0.71963584	recipe/nn
payback/nn	9	0.801571	recipe/nn
paycheck/nn	4	0.5610972	paycheck/nn
payment/nn	2	0.8063467	decision/nn
peace/nn	9	0.77443355	recipe/nn
penalty/nn	8	0.25669277	process/nn
penicillin/nn	6	0.04119087	exposure/nn
penny/nn	14	0.4910677	headache/nn
percent/nn	5	0.50983447	description/nn
permission/nn	1	0.1601437	leeway/nn
permit/nn	14	0.5529395	headache/nn
perspective/nn	3	0.5204126	pat/nn
pet/nn	4	0.5417181	paycheck/nn
physical/nn	4	0.48326138	paycheck/nn
picture/nn	5	0.43152615	description/nn
pictures/nn	11	0.7111446	time/nn
piece/nn	5	0.6404513	description/nn
pill/nn	0	-0.21247956	equipment/nn
pipe/nn	7	0.43060848	custody/nn
place/nn	7	0.5257381	custody/nn
places/nn	7	0.577367	custody/nn
plan/nn	12	0.036658052	mortgage/nn
plans/nn	4	0.14419572	paycheck/nn
plant/nn	0	0.24073802	equipment/nn
plate/nn	3	0.6659645	pat/nn
points/nn	2	0.7346835	decision/nn
point/nn	11	0.7433225	time/nn
poke/nn	7	0.54883665	custody/nn
policy/nn	6	0.35566527	exposure/nn
pony/nn	3	0.10218277	pat/nn
potential/nn	9	0.79052377	recipe/nn
power/nn	0	0.24488564	equipment/nn
preference/nn	4	0.39738747	paycheck/nn
prescription/nn	0	0.3356033	equipment/nn
present/nn	1	-0.05855135	leeway/nn
price/nn	12	0.08665733	mortgage/nn
printout/nn	5	0.06573678	description/nn
problem/nn	8	0.39757192	process/nn
problems/nn	4	0.32957613	paycheck/nn
process/nn	8	0.6009481	process/nn
products/nn	3	0.38923734	pat/nn
product/nn	5	0.6105087	description/nn
profit-sharing/nn	7	0.4787248	custody/nn
protection/nn	9	0.7604097	recipe/nn
psychotic/nn	5	0.22498588	description/nn
punishment/nn	9	0.7949922	recipe/nn
puppy/nn	14	0.32684654	headache/nn
purse/nn	4	0.53777504	paycheck/nn
push/nn	9	0.6533237	recipe/nn
quantity/nn	5	0.6370292	description/nn
question/nn	1	0.2700135	leeway/nn
questionnaire/nn	14	0.5683686	headache/nn
rabbit/nn	14	0.6303362	headache/nn
raise/nn	14	0.4428604	headache/nn
rap/nn	14	0.5292352	headache/nn
rash/nn	5	0.4820236	description/nn
rates/nn	12	0.2825607	mortgage/nn
rate/nn	12	0.44925407	mortgage/nn
rating/nn	12	0.18330769	mortgage/nn
reason/nn	9	0.7681097	recipe/nn
rebate/nn	12	0.4318934	mortgage/nn
recipe/nn	9	0.79948837	recipe/nn
records/nn	14	0.1664083	headache/nn
referrals/nn	2	0.86251074	decision/nn
referral/nn	6	0.63329965	exposure/nn
refund/nn	12	0.41695663	mortgage/nn
rein/nn	8	-0.0074121403	process/nn
relaxation/nn	5	0.677542	description/nn
release/nn	5	0.68450606	description/nn
relief/nn	12	0.39804754	mortgage/nn
report/nn	3	0.46484482	pat/nn
reports/nn	10	0.13754494	year/nn
respect/nn	9	0.7679881	recipe/nn
ride/nn	14	0.6217518	headache/nn
right/nn	8	0.18798904	process/nn
ring/nn	8	0.5443528	process/nn
room/nn	7	0.47137585	custody/nn
rotation/nn	5	0.6719934	description/nn
rule/nn	8	0.5732234	process/nn
run/nn	11	0.6698763	time/nn
rush/nn	14	0.40362182	headache/nn
salary/nn	12	0.2918568	mortgage/nn
sample/nn	3	0.2173582	pat/nn
scale/nn	3	0.66082716	pat/nn
scholarship/nn	12	0.082882755	mortgage/nn
screen/nn	3	0.6786947	pat/nn
seat/nn	8	0.1672345	process/nn
security/nn	0	0.2977363	equipment/nn
seedling/nn	3	0.28364912	pat/nn
self-esteem/nn	12	0.26185384	mortgage/nn
sense/nn	2	0.6386673	decision/nn
sentence/nn	14	0.45764297	headache/nn
sentences/nn	11	0.47317985	time/nn
sermon/nn	4	0.22320496	paycheck/nn
service/nn	0	0.11205225	equipment/nn
set/nn	5	0.66604227	description/nn
seventies/mc	7	0.04110889	custody/nn
seventy/mc	10	0.5825117	year/nn
shelter/nn	7	0.55399716	custody/nn
shirts/nn	4	0.2323753	paycheck/nn
shirt/nn	4	0.3232075	paycheck/nn
shot/nn	14	0.3344095	headache/nn
shots/nn	8	0.41076553	process/nn
shower/nn	7	0.17943041	custody/nn
side/nn	3	0.6571518	pat/nn
signal/nn	14	0.52424943	headache/nn
six/nn	7	0.56177366	custody/nn
skills/nn	0	-0.0780679	equipment/nn
skill/nn	4	0.2044587	paycheck/nn
slant/nn	3	0.519458	pat/nn
smack/nn	7	0.5715003	custody/nn
some/pn	1	0.07906365	leeway/nn
something/nn	13	0.3665716	that/dd
something/pn	13	0.13128655	that/dd
song/nn	4	0.3999416	paycheck/nn
sources/nn	8	0.06397906	process/nn
source/nn	5	0.6928271	description/nn
space/nn	8	0.1909394	process/nn
specs/nn	4	0.48914418	paycheck/nn
spec/nn	3	0.63458306	pat/nn
speech/nn	1	0.53061354	leeway/nn
spiel/nn	11	0.62094355	time/nn
spot/nn	3	0.6048692	pat/nn
steak/nn	0	-0.006757204	equipment/nn
stimulation/nn	5	0.6726077	description/nn
stipend/nn	14	0.6075463	headache/nn
stock/nn	8	0.21730943	process/nn
story/nn	13	0.21601099	that/dd
strength/nn	5	0.3382748	description/nn
stroke/nn	14	0.6521039	headache/nn
stuff/nn	5	0.19882274	description/nn
subscription/nn	6	0.6665711	exposure/nn
subtitle/nn	7	0.32061437	custody/nn
sudafed/np	14	0.2455774	headache/nn
suit/nn	4	0.28323025	paycheck/nn
supplies/nn	5	-0.03765524	description/nn
supply/nn	0	0.34850246	equipment/nn
support/nn	9	0.7784907	recipe/nn
sweatshirt/nn	4	0.3218238	paycheck/nn
sympathy/nn	9	0.7911046	recipe/nn
synopsis/nn	13	0.21097986	that/dd
system/nn	8	0.46297437	process/nn
talent/nn	4	0.47896874	paycheck/nn
talk/nn	5	0.6529301	description/nn
tang/nn	6	0.35196733	exposure/nn
tank/nn	8	0.11142338	process/nn
tape/nn	3	0.67107844	pat/nn
tariff/nn	3	0.66454196	pat/nn
tartness/nn	5	0.65399164	description/nn
tax-credit/nn	5	0.67556936	description/nn
tax-cut/nn	1	0.41724157	leeway/nn
tax/nn	12	0.35830942	mortgage/nn
television/nn	3	0.66436136	pat/nn
tempt/vv	13	0.2113958	that/dd
ten/mc	10	0.6295512	year/nn
test/nn	3	0.052961163	pat/nn
testing/nn	0	-0.015234087	equipment/nn
that/dd	13	0.42389432	that/dd
them/pp	13	0.21194379	that/dd
therapy/nn	0	0.36841065	equipment/nn
these/dd	5	0.26645887	description/nn
thing/nn	10	0.105162725	year/nn
things/nn	10	0.157566	year/nn
this/dd	13	0.28459576	that/dd
those/dd	5	0.38157368	description/nn
thought/nn	4	0.5057133	paycheck/nn
thoughts/nn	9	0.7216804	recipe/nn
thrust/nn	5	0.6510776	description/nn
thumbs-down/nn	14	0.52729905	headache/nn
ticket/nn	3	0.62751627	pat/nn
time-off/nn	9	0.70893705	recipe/nn
time/nn	11	0.7394244	time/nn
times/nn	11	0.74760425	time/nn
tip/nn	3	0.48353115	pat/nn
title/nn	8	0.5624807	process/nn
titles/nn	11	0.33221	time/nn
tomatoes/nn	9	0.6839549	recipe/nn
tomato/nn	0	0.2181845	equipment/nn
ton/nn	5	0.68487453	description/nn
topic/nn	3	0.593183	pat/nn
toyota/np	0	0.18864837	equipment/nn
traction/nn	14	0.37326568	headache/nn
training/nn	0	0.21354365	equipment/nn
transfusion/nn	3	0.20385975	pat/nn
transportation/nn	0	0.29636624	equipment/nn
treat/nn	14	0.66380924	headache/nn
trial/nn	8	0.56274	process/nn
trie/nn	14	0.3369041	headache/nn
trip/nn	6	0.61383694	exposure/nn
trouble/nn	7	0.573482	custody/nn
try/nn	13	-0.0036320116	that/dd
tub/nn	3	0.47952023	pat/nn
tune-up/nn	14	0.56503075	headache/nn
tv/nn	3	0.63830864	pat/nn
type/nn	5	0.69141144	description/nn
uniform/nn	4	0.32441235	paycheck/nn
update/nn	3	0.57496196	pat/nn
upgrade/nn	14	0.5818012	headache/nn
uplift/nn	6	0.6443215	exposure/nn
variance/nn	11	0.74783933	time/nn
variety/nn	5	0.6170862	description/nn
verdict/nn	8	0.59108454	process/nn
veto/nn	14	0.5546876	headache/nn
view/nn	5	0.6295313	description/nn
views/nn	9	0.7944867	recipe/nn
walking/nn	14	0.6120304	headache/nn
warhead/nn	0	0.20212834	equipment/nn
warning/nn	14	0.6332588	headache/nn
warranty/nn	3	0.6354763	pat/nn
water/nn	8	0.5276981	process/nn
way/nn	8	0.55833095	process/nn
week/nn	10	0.5966221	year/nn
whiz/nn	14	0.12909025	headache/nn
work/nn	6	0.6473059	exposure/nn
workout/nn	14	0.6411997	headache/nn
world/nn	8	0.6022512	process/nn
worth/nn	5	0.59889996	description/nn
year/nn	10	0.6274361	year/nn
