cw	x	y	cluster_number	silhouette	medoid_label	final_cluster
actress/nn	8.509583989028142	2.9775436448923056	11	0.43927878	man/nn	man/nn
advance/vv	-3.697772979320431	0.38834348465606094	13	0.022921575	myself/pp	myself/pp
agencies/nn	-11.221601280017543	-9.830335091613195	7	0.2609708	taxpayer/nn	taxpayer/nn
agency/nn	-9.87037374286501	-7.152363839487045	9	0.36372203	jury/nn	jury/nn
aids/nn	-2.0865158232232472	0.5029589864546721	13	0.072546534	myself/pp	myself/pp
alan/np	-9.862603392676014	-6.4665736044675155	9	0.50223505	jury/nn	jury/nn
america/np	-11.986004872022114	-1.5114186899663629	4	0.7055242	russia/np	russia/np
anybody/pn	11.221415146350637	0.18245344520202353	6	0.7147774	anyone/pn	anyone/pn
anyone/pn	11.014643202905738	0.6881207004910355	6	0.7004932	anyone/pn	anyone/pn
anything/pn	11.66555489776722	0.7622091638763397	6	0.6274492	anyone/pn	anyone/pn
arm/nn	7.159147634143087	10.791910826697505	1	0.6349116	son/nn	son/nn
army/nn	-11.695812439721605	-7.5094787191345835	9	0.41053882	jury/nn	jury/nn
artist/nn	6.54568508926848	0.35418218213124936	12	0.1355134	individual/nn	individual/nn
association/nn	-10.136667737994452	-9.60886569038917	7	0.5717694	taxpayer/nn	taxpayer/nn
boss/nn	7.199550437491073	10.72764576159918	1	0.6400335	son/nn	son/nn
boys/nn	9.867370699260931	-2.584237345161366	3	0.49035856	guys/nn	guys/nn
boy/nn	9.154733397633724	4.032558623828331	11	0.5881817	man/nn	man/nn
brother/nn	7.643336857344964	11.615099663752098	1	0.6725828	son/nn	son/nn
bush/np	-13.17952741996395	-3.293725862568838	10	0.34001577	president/np	president/np
businesses/nn	9.132144331954493	-2.272983424056085	3	0.2481957	guys/nn	guys/nn
business/nn	-10.705548029761392	-1.1859635667470962	4	0.5806193	russia/np	russia/np
campaign/nn	-12.054404127393418	-5.185932921985502	9	0.26339287	jury/nn	jury/nn
candidate/nn	-12.993222202740041	-4.126238405363875	10	0.23721121	president/np	president/np
car/nn	-11.02844045797732	-2.009534731800683	4	0.49883503	russia/np	russia/np
charity/nn	-1.9377874222400862	-0.5797118918390868	8	0.25240892	me/nn	me/nn
child/nn	7.866939606323038	7.2284739357715955	2	0.58240885	parents/nn	parents/nn
citizen/nn	-10.640777513069512	-10.326169139641973	7	0.6415036	taxpayer/nn	taxpayer/nn
city/nn	-12.06710751362073	-1.4709631065194715	4	0.6809112	russia/np	russia/np
companies/nn	8.158430132160827	-1.620311953692155	12	0.14933765	individual/nn	individual/nn
company/nn	-11.952824279384185	-8.29470295125796	9	0.27068692	jury/nn	jury/nn
competitor/nn	7.2312149520841285	7.704907253912911	2	0.5857357	parents/nn	parents/nn
convict/nn	8.754637445765018	0.438954693611071	12	0.34448087	individual/nn	individual/nn
countries/nn	9.11590370690376	-3.214639784825095	3	0.5809751	guys/nn	guys/nn
