cw	x	y	cluster_number	silhouette	medoid_label	final_cluster
demonstration/nn	9.929788789325766	-27.070587087204867	5	0.30759114	description/nn	description/nn
demonstrator/nn	11.44948536500335	-27.268447152759027	5	0.59813696	description/nn	description/nn
demos/nn	-5.084579935225158	-21.91576102906005	0	-0.13512759	equipment/nn	NA
demo/nn	23.912359598082954	-4.6602804385602274	2	0.85108435	decision/nn	decision/nn
description/nn	15.137534961064507	-28.71533704642201	5	0.687845	description/nn	description/nn
detention/nn	-11.15816971932137	-23.479002665896978	7	0.5364442	custody/nn	custody/nn
diet/nn	-23.02113863194135	25.156880708086263	3	0.48921064	pat/nn	pat/nn
dignity/nn	-14.707369731903547	4.170139481323279	0	-0.17510545	equipment/nn	NA
direction/nn	-12.847158440167316	-22.573774648318164	7	0.5426773	custody/nn	custody/nn
discount/nn	9.697490881282018	13.013453121066298	12	0.41707137	mortgage/nn	mortgage/nn
dity/nn	-7.094189747522605	24.297067745549892	14	0.4693037	headache/nn	headache/nn
dog/nn	-24.153966918281768	27.360321432254782	3	0.46385655	pat/nn	pat/nn
dollar/nn	18.41206625252841	-25.961048157174677	5	0.48661157	description/nn	description/nn
doubt/nn	19.46983881917193	2.038976147276778	1	0.41573474	leeway/nn	leeway/nn
drainage/nn	-18.077531861836487	-13.951126902922322	8	0.5602923	process/nn	process/nn
dressing/nn	-14.59506763621011	-22.97414843293988	7	0.4552742	custody/nn	custody/nn
drug/nn	-2.0796958404297823	2.652762702133677	0	0.29546115	equipment/nn	equipment/nn
edge/nn	-30.427646538340575	21.036015030372784	3	0.030311927	pat/nn	pat/nn
education/nn	-5.13055971180671	-1.9348151924954589	0	0.17540437	equipment/nn	equipment/nn
effect/nn	-30.559455585077213	20.919532071802415	8	-0.006981271	process/nn	NA
eighties/mc	-16.60767439388402	-17.166178243858162	8	0.19907215	process/nn	process/nn
eighty/mc	23.90564117120644	-12.581462567146993	10	0.5847506	year/nn	year/nn
election/nn	-18.258696590215614	-13.135545858583363	8	0.5730328	process/nn	process/nn
energy/nn	-3.9028074872253495	-1.2515728024043258	0	0.3247823	equipment/nn	equipment/nn
entertainment/nn	-29.45228218650057	22.383603145718862	3	0.28443387	pat/nn	pat/nn
equipment/nn	-1.078474270907556	1.2679312292892744	0	0.37352684	equipment/nn	equipment/nn
estimate/nn	-13.456188532153904	-14.702179662108074	8	0.18102029	process/nn	process/nn
evaluation/nn	18.779340749008878	-28.694515196609633	5	0.5871968	description/nn	description/nn
everything/pn	13.59857405795747	-7.95085499980292	13	0.09452323	that/dd	that/dd
example/nn	-5.245002327447809	17.752718047902274	14	0.45747837	headache/nn	headache/nn
exercise/nn	-6.177649144617457	18.91534633297449	14	0.59878033	headache/nn	headache/nn
experience/nn	10.169741237626257	-5.804539730466499	4	0.47211897	paycheck/nn	paycheck/nn
exposure/nn	-13.259295097009622	-4.877654897199678	6	0.65768445	exposure/nn	exposure/nn
extra/nn	17.03019513464249	-21.20196777425439	5	0.35501254	description/nn	description/nn
f/np	-7.144072688113839	-13.239459591526934	13	0.27482122	that/dd	that/dd
facts/nn	-16.342498302012494	-11.497447804582318	8	0.4826951	process/nn	process/nn
feel/nn	23.750631410709477	-3.4035666002959957	2	0.8354927	decision/nn	decision/nn
feeling/nn	11.597284840543225	-6.883986952914137	4	0.13051702	paycheck/nn	paycheck/nn
felony/nn	-6.396957682555424	21.612755488149045	14	0.63539433	headache/nn	headache/nn
fifteen/mc	23.452146339439636	-11.813647304582345	10	0.61809427	year/nn	year/nn
fifty-thousand/mc	22.912293401514898	-12.67067502773865	10	0.5487726	year/nn	year/nn
figures/nn	13.412150953185238	-2.7085200590081255	0	-0.20629564	equipment/nn	NA
figure/nn	-7.714624304779601	19.058506622001477	14	0.54008514	headache/nn	headache/nn
fingerprint/nn	-24.007406801847598	24.1075772296132	3	0.56948113	pat/nn	pat/nn
firepower/nn	20.783120169051642	3.078349609965433	1	0.42269686	leeway/nn	leeway/nn
fish/nn	-3.4586457928926038	5.840680869311348	0	0.21687505	equipment/nn	equipment/nn
flavor/nn	12.230190635783249	-28.057278256892356	5	0.6716785	description/nn	description/nn
flexibility/nn	20.479055899106292	3.908973613925539	1	0.5603635	leeway/nn	leeway/nn
focus/nn	-28.154265398753047	25.05092231887034	3	0.6273943	pat/nn	pat/nn
food/nn	-2.8319269291363702	3.9801407926371777	0	0.38249665	equipment/nn	equipment/nn
foothold/nn	-2.7745303467017397	21.07028551296134	14	0.6081179	headache/nn	headache/nn
four/nn	21.95076348082524	-10.125646378726287	10	0.5521274	year/nn	year/nn
freedom/nn	14.823972750618912	-26.808974573464557	5	0.6919638	description/nn	description/nn
friday/np	-26.23481097662962	25.299137783109206	3	0.64732504	pat/nn	pat/nn
fruit/nn	-2.6935135106116292	5.48521431674197	0	0.23372895	equipment/nn	equipment/nn
game/nn	-19.635445581409222	-11.317223524282666	8	0.4171325	process/nn	process/nn
gift/nn	1.7482737971505498	21.89361900191422	14	0.07706867	headache/nn	headache/nn
glass/nn	10.384811339472067	0.47202300744969106	4	0.29623836	paycheck/nn	paycheck/nn
glimpse/nn	-5.4848559272121795	17.603743113817004	14	0.540695	headache/nn	headache/nn
goal/nn	-28.785689837130523	21.867250255198517	3	0.30866295	pat/nn	pat/nn
grade/nn	-13.190289927429996	-22.654359961630483	7	0.5606983	custody/nn	custody/nn
graph/nn	-7.686592004727701	14.198763056582171	11	0.16100596	time/nn	time/nn
grief/nn	2.6617529994943037	-1.248938361926402	4	0.17328137	paycheck/nn	paycheck/nn
guidance/nn	19.630818092355867	5.303424713509362	1	0.6066964	leeway/nn	leeway/nn
gun/nn	-7.839122617881004	19.88974202048955	14	0.5551015	headache/nn	headache/nn
half/nn	-6.7548240728746345	16.204504061155333	14	0.3143296	headache/nn	headache/nn
hdls/np	15.243322933567061	14.279698556725572	13	-0.008294353	that/dd	NA
headache/nn	-5.38689583203863	20.223198598446473	14	0.66646624	headache/nn	headache/nn
headlines/nn	-7.271865879817433	-14.636761822758125	13	0.20143196	that/dd	that/dd
headline/nn	-8.340500205166688	-12.758488475496774	13	-0.14260444	that/dd	NA
help/nn	14.021528367913579	21.282668210785616	9	0.74480104	recipe/nn	recipe/nn
her/pp	14.894285577314141	10.756837072745036	13	0.32710478	that/dd	that/dd
hers/pp	15.587553527017448	-24.519302934027753	5	0.6484745	description/nn	description/nn
hint/nn	19.292172120261565	7.213295896156089	1	0.3423056	leeway/nn	leeway/nn
history/nn	-11.603920617027173	-23.60563864026982	7	0.58950436	custody/nn	custody/nn
homeland/nn	-3.541068644959493	-1.1298926835145395	0	0.31285194	equipment/nn	equipment/nn
hours/nn	22.480739825670902	-10.18526491191876	10	0.57075	year/nn	year/nn
hour/nn	23.423790143384682	-10.628625163381704	10	0.6093311	year/nn	year/nn
hug/nn	19.904401777660265	6.491531636429541	1	0.4932647	leeway/nn	leeway/nn
husband/nn	8.797362175972715	-2.9339590613272315	4	0.52447945	paycheck/nn	paycheck/nn
idea/nn	19.456029034375938	1.6558615428967445	1	0.39247888	leeway/nn	leeway/nn
ideas/nn	17.112036038218495	-20.439249887508943	5	0.19168985	description/nn	description/nn
importance/nn	12.16855154544984	-27.475000674292907	5	0.64403164	description/nn	description/nn
impression/nn	13.167515956801054	-7.507279758352837	4	-0.07127092	paycheck/nn	NA
incentive/nn	13.675412340097955	13.029675377990598	12	0.18785232	mortgage/nn	mortgage/nn
inch/nn	22.03883177970988	-11.65007461233711	10	0.40402016	year/nn	year/nn
income/nn	11.615265336897476	14.168136775877683	12	0.4265487	mortgage/nn	mortgage/nn
independence/nn	13.371783844175333	-28.31076430444388	5	0.6742274	description/nn	description/nn
