cw	x	y	cluster_number	medoid_label	silhouette	final_cluster
mater/nn	2.7090801011872006	0.7762597636850558	4	teacher/nn	-0.15162994	NA
matter/nn	-3.087639115101652	2.783032819153517	11	theory/nn	0.13635448	theory/nn
me/pp	-3.7561850675927495	-7.615772779803543	1	myself/pp	0.13377228	myself/pp
member/nn	-1.460218842828534	7.63902577818783	12	member/nn	0.29196033	member/nn
mom/nn	7.370917847998154	-7.194417415233755	7	mother/nn	0.43834403	mother/nn
mother/nn	7.1922595966351475	-6.386840393988457	7	mother/nn	0.4656647	mother/nn
myself/pp	-3.846406821028259	-7.011270690708245	1	myself/pp	0.28017694	myself/pp
nation/nn	-4.159685752946701	9.938288530123437	9	advance/vv	0.5277403	advance/vv
nicaragua/np	-4.110050097085804	10.738892855918646	9	advance/vv	0.5703687	advance/vv
other/nn	-3.7337869379356583	1.7443245898834625	11	theory/nn	0.40253428	theory/nn
parent/nn	6.0535152760609705	-6.45238982041265	7	mother/nn	0.19636674	mother/nn
peasant/nn	-2.582122545632022	-2.304253822992911	8	people/nn	0.30505455	people/nn
people/nn	-2.499693193668292	-3.762567909286849	8	people/nn	0.36882615	people/nn
person/nn	-0.772592812494685	-4.725656638039398	14	man/nn	0.314142	man/nn
plaintiff/nn	-1.17373716754705	3.968229310344116	13	court/nn	0.6949776	court/nn
planner/nn	-4.267597177742302	6.4134555590237206	2	company/nn	0.23193957	company/nn
president/np	0.9955300718704407	4.750712205955955	6	bush/np	0.33560976	bush/np
public/nn	-2.6843507541431277	-2.5193793171307375	8	people/nn	0.32924047	people/nn
rashad/np	3.64747004746237	-0.8066835690151998	4	teacher/nn	0.0135301445	teacher/nn
reader/nn	-2.4767264970118097	-3.5454624771974577	8	people/nn	0.3222729	people/nn
rear/vv	1.114575139292541	-2.093129597421142	4	teacher/nn	-0.00937462	NA
russia/np	-3.239192690099775	10.843268633819731	9	advance/vv	0.57410836	advance/vv
ryan/np	8.569119832752072	-4.085583799112686	5	husband/nn	0.31860623	husband/nn
schwartzkopf/np	-1.7765655468816706	9.50293200533491	9	advance/vv	0.15278557	advance/vv
scout/nn	3.646615065983284	-6.232238729320351	3	kid/nn	0.4195094	kid/nn
sister/nn	8.171859788900155	-6.223564695712977	7	mother/nn	0.24118519	mother/nn
somebody/pn	-2.1858413990591408	-6.908805904832644	1	myself/pp	-0.020598259	NA
someone/pn	-1.8212119832567495	-6.414069253647126	1	myself/pp	0.03939778	myself/pp
son/nn	8.927164149636168	-4.734307726418683	5	husband/nn	0.08471727	husband/nn
stomach/nn	-3.7240122182202016	-6.531220728954035	1	myself/pp	0.39103076	myself/pp
stranger/nn	2.2558392761194357	-6.435127817445991	3	kid/nn	0.053258866	kid/nn
student/nn	1.9088025000412865	0.6225298438088691	4	teacher/nn	0.21400511	teacher/nn
taxpayer/nn	-5.786834220457029	5.535067568739444	2	company/nn	0.47170553	company/nn
teacher/nn	2.1533216631372882	0.220291645174704	4	teacher/nn	0.34575135	teacher/nn
team/nn	-3.2500908994017244	5.9371197793748145	12	member/nn	0.025287367	member/nn
that/dd	-2.361035934326926	-9.20257950578433	10	anything/pn	0.52010554	anything/pn
them/pp	-3.4488534840824516	-6.1509953212558655	1	myself/pp	0.32372108	myself/pp
theory/nn	-3.6641467112822625	2.2700811999248525	11	theory/nn	0.5608579	theory/nn
thing/nn	-1.8699878057012829	-9.16894383456274	10	anything/pn	0.45304257	anything/pn
thomases/np	7.7047929223883775	-4.27378808015291	5	husband/nn	0.2544347	husband/nn
topic/nn	-3.4219248284620862	2.4045345310486756	11	theory/nn	0.45689896	theory/nn
trek/np	6.234126469049533	-3.3383104942984545	5	husband/nn	0.044000357	husband/nn
troop/nn	-2.461193703029853	9.91073268385746	9	advance/vv	0.49276596	advance/vv
twin/nn	8.448061077564681	-6.399573526184696	7	mother/nn	0.288568	mother/nn
university/nn	2.052166319225639	2.3446389463821387	0	irvin/np	0.41582778	irvin/np
us/pp	-4.227424522401653	-5.90995537737673	1	myself/pp	0.3100408	myself/pp
veteran/nn	-1.6552704120342825	7.899880764143586	12	member/nn	0.30702537	member/nn
veto/nn	0.5452124539682848	6.187585092408816	6	bush/np	0.52556884	bush/np
vietnamese/nn	-1.952378060486094	10.083376498660698	9	advance/vv	0.35024905	advance/vv
washington/np	2.204045152169331	2.5427538270255963	0	irvin/np	0.5464246	irvin/np
white/nn	-1.1859790309580427	-2.862789197189719	8	people/nn	0.014542822	people/nn
wife/nn	7.899340453114107	-5.184406473036608	5	husband/nn	-0.034843646	NA
woman/nn	0.2552032455106447	-4.1623602372095165	14	man/nn	0.4708761	man/nn
wwf/np	-0.45315527273574696	-3.377924115513986	14	man/nn	0.15972513	man/nn
you/pp	-3.065916074106103	-8.509463606717224	10	anything/pn	0.28544724	anything/pn
