cw	x	y	cluster_number	medoid_label	silhouette	final_cluster
subtitle/nn	-15.761399377671069	-15.94596526193383	4	broadcast/nn	0.21295224	broadcast/nn
sudafed/np	-9.266636861644013	-0.4331667795663222	7	transfusion/nn	0.0595956	transfusion/nn
suit/nn	-36.49408966143062	-3.213496049235597	3	pat/nn	0.4768621	pat/nn
supply/nn	-22.999832042718626	3.934728724065943	2	drainage/nn	0.28035405	drainage/nn
support/nn	14.602304411518691	10.949365443594905	0	thrust/nn	0.17779021	thrust/nn
sweatshirt/nn	-35.54767070485005	-3.526706853991728	3	pat/nn	0.4691681	pat/nn
sympathy/nn	10.565393144749734	19.902880940223397	6	experience/nn	0.21682371	experience/nn
synopsis/nn	-11.219951769986984	-19.365562669180843	4	broadcast/nn	0.42895895	broadcast/nn
system/nn	12.513047173239064	6.852787393947098	1	access/nn	0.23066123	access/nn
talent/nn	8.34559943380534	17.215407228181036	6	experience/nn	0.3024237	experience/nn
talk/nn	-7.184643669985972	-20.551187807657747	4	broadcast/nn	0.2726487	broadcast/nn
tang/nn	-33.54139577968172	8.74622753366999	11	tang/nn	0.6970177	tang/nn
tank/nn	-25.934437333353358	1.3468048011854297	2	drainage/nn	0.44864887	drainage/nn
tape/nn	-12.861011557243495	-19.819069806198144	4	broadcast/nn	0.35308376	broadcast/nn
tariff/nn	31.094573696957465	0.7977184541579155	10	discount/nn	0.5192245	discount/nn
tartness/nn	-34.95565624006993	9.364362134963285	11	tang/nn	0.57250106	tang/nn
tax-credit/nn	28.382359773075887	1.4226103700493198	10	discount/nn	0.3789869	discount/nn
tax-cut/nn	30.345658728734154	1.4219967910870408	10	discount/nn	0.470464	discount/nn
tax/nn	30.898741665517832	0.865263922282488	10	discount/nn	0.5308308	discount/nn
television/nn	-15.009936581309013	-19.516760045708015	4	broadcast/nn	0.454045	broadcast/nn
tempt/vv	-5.020794400870315	-2.249430499118701	14	one/pn	0.59525466	one/pn
ten/mc	36.01324588806569	-14.30703127961279	8	minute/nn	0.35451087	minute/nn
test/nn	-12.050425420368441	6.23043562219344	7	transfusion/nn	0.41214678	transfusion/nn
testing/nn	-11.668044833022373	6.434133562539032	7	transfusion/nn	0.323819	transfusion/nn
that/dd	-3.070056902752469	-2.8780913345555685	14	one/pn	0.63361347	one/pn
them/pp	-5.43827961672009	-1.8331293436672578	14	one/pn	0.5296462	one/pn
therapy/nn	-12.273847559693642	9.480214618526443	7	transfusion/nn	0.5303913	transfusion/nn
these/dd	-8.519219807267417	0.7833501939386411	12	list/nn	0.16469055	list/nn
thing/nn	-2.7401818583754722	-3.0926509147713532	14	one/pn	0.60524213	one/pn
this/dd	-11.207478311451734	-18.031047185257062	4	broadcast/nn	0.23122534	broadcast/nn
those/dd	-7.7451610484615685	0.05977001564870116	12	list/nn	-0.14572191	NA
thought/nn	4.127457757953491	18.03451972494084	6	experience/nn	0.44951913	experience/nn
thrust/nn	17.058021639021774	13.07467854826079	0	thrust/nn	0.45191514	thrust/nn
thumbs-down/nn	20.503912302021607	9.796415381193297	0	thrust/nn	0.09743557	thrust/nn
ticket/nn	-23.31883992329059	-9.195252922240893	2	drainage/nn	0.059752513	drainage/nn
time-off/nn	40.2886787402064	-6.67057014222577	10	discount/nn	-0.051780164	NA
time/nn	36.090747608048545	-17.152812374757513	8	minute/nn	0.69093436	minute/nn
tip/nn	-1.5956298839799632	6.616576612735491	12	list/nn	-0.043955777	NA
title/nn	-15.509680958405502	-16.06919489209641	12	list/nn	-0.20071034	NA
tomato/nn	-35.212430995837785	8.207797058876743	11	tang/nn	0.6678776	tang/nn
ton/nn	-26.127822121125455	2.718587039121378	2	drainage/nn	0.42525005	drainage/nn
topic/nn	0.7458338083084438	-1.0531379142872652	6	experience/nn	0.10014238	experience/nn
toyota/np	-24.387553641446104	2.7793259676771638	2	drainage/nn	0.43691465	drainage/nn
traction/nn	13.857241246901308	12.029301635467558	0	thrust/nn	0.19277342	thrust/nn
training/nn	-2.235038172250993	11.001649871604977	13	activity/nn	0.21619064	activity/nn
transfusion/nn	-13.835835132296808	8.3037000005106	7	transfusion/nn	0.6213982	transfusion/nn
transportation/nn	12.252774686594064	5.297647073755861	1	access/nn	0.439282	access/nn
treat/nn	-34.59452287065714	9.431021271097217	11	tang/nn	0.64286745	tang/nn
trial/nn	16.84412244558427	-3.36786842269229	5	jurisdiction/nn	0.6569941	jurisdiction/nn
trie/nn	15.997352802852083	-1.1366494219060368	5	jurisdiction/nn	0.37272862	jurisdiction/nn
trip/nn	-22.448452054752504	-10.07685251541852	4	broadcast/nn	0.0827728	broadcast/nn
trouble/nn	2.199029572479456	11.47377032335534	13	activity/nn	0.2264539	activity/nn
try/nn	-4.797435601644112	-0.9093538625346345	14	one/pn	0.36916998	one/pn
tub/nn	-31.346852842969177	2.306155068686737	2	drainage/nn	0.063677356	drainage/nn
tune-up/nn	33.08838129648875	-3.843062921031684	10	discount/nn	0.20411436	discount/nn
tv/nn	-15.338243526144584	-19.1702423847095	4	broadcast/nn	0.42378858	broadcast/nn
type/nn	-9.41693901674341	2.903786042356676	13	activity/nn	-0.067475185	NA
uniform/nn	-35.90960271578785	-3.456603460942788	3	pat/nn	0.4724704	pat/nn
update/nn	-10.434215026900132	-19.824437563530648	4	broadcast/nn	0.47142574	broadcast/nn
upgrade/nn	9.45390952459102	6.72876120008267	1	access/nn	0.1112123	access/nn
uplift/nn	8.305468819518572	18.605043609519274	6	experience/nn	0.40736	experience/nn
variance/nn	15.540010250127155	8.815835599675529	1	access/nn	-0.0042542494	NA
variety/nn	-9.363306710352115	1.2122984719891154	12	list/nn	-0.05942864	NA
verdict/nn	16.672595751446405	-2.5513904283252287	5	jurisdiction/nn	0.64715767	jurisdiction/nn
veto/nn	29.435475102528113	3.7978958032241623	0	thrust/nn	0.056755047	thrust/nn
view/nn	3.7967331530466435	18.94179314163778	6	experience/nn	0.34416825	experience/nn
walking/nn	-30.603237274604698	-3.352280551692232	3	pat/nn	0.20897982	pat/nn
warhead/nn	-24.718328685867146	2.864408094675723	2	drainage/nn	0.45110384	drainage/nn
warning/nn	0.47119378416361074	9.325762905273198	13	activity/nn	0.37793306	activity/nn
warranty/nn	29.948092841671574	-2.8500417979825676	10	discount/nn	0.5178486	discount/nn
water/nn	-28.20395443964967	2.5221147883318844	2	drainage/nn	0.398515	drainage/nn
way/nn	2.243231431939692	18.90885089710859	6	experience/nn	0.14504115	experience/nn
week/nn	34.92999833081802	-17.874794330572936	8	minute/nn	0.5184585	minute/nn
whiz/nn	-6.157086414127836	-0.06697522117732724	14	one/pn	0.13587609	one/pn
work/nn	8.155783207875178	10.668757451655887	13	activity/nn	-0.04335641	NA
workout/nn	-11.730678210650932	8.784225579585684	7	transfusion/nn	0.48996788	transfusion/nn
world/nn	1.3248359866338022	-3.2287078813215997	12	list/nn	0.097192094	list/nn
worth/nn	35.57522131269679	-10.77758534908814	9	worth/nn	0.52345854	worth/nn
year/nn	35.999204832199744	-15.591179241043747	8	minute/nn	0.62803864	minute/nn
