	actress/nn	advance/vv	agencies/nn	agency/nn	aids/nn	alan/np	america/np	anybody/pn	anyone/pn	anything/pn	arm/nn	army/nn	artist/nn	association/nn	boss/nn	boys/nn	boy/nn	brother/nn	bush/np	businesses/nn	business/nn	campaign/nn	candidate/nn	car/nn	charity/nn	child/nn	citizen/nn	city/nn	companies/nn	company/nn	competitor/nn	convict/nn	countries/nn	country/nn	court/nn	criminal/nn	criminals/nn	dad/nn	daughters/nn	daughter/nn	district/nn	dogs/nn	employees/nn	dog/nn	employee/nn	enterprise/nn	entrant/nn	environment/nn	europe/np	everybody/pn	everyone/pn	fbi/np	folk/nn	food/nn	fred/np	friends/nn	friend/nn	girl/nn	government/nn	grandparents/nn	grandparent/nn	group/nn	grower/nn	grown-up/nn	guy/nn	guys/nn	her/pp	him/nn	him/pp	horses/nn	household/nn	houses/nn	house/nn	husband/nn	individual/nn	iranian/nn	irvin/np	it/pp	judge/nn	jury/nn	kid/nn	kids/nn	kitty/np	kurds/np	lady/nn	leland/np	lord/np	mama/nn	man/nn	management/nn	mater/nn	matter/nn	me/nn	me/pp	members/nn	member/nn	mom/nn	mom/np	mother/nn	myself/pp	nation/nn	nicaragua/np	other/nn	parents/nn	parent/nn	peasant/nn	people/nn	person/nn	plaintiff/nn	planner/nn	president/np	public/nn	rashad/np	reader/nn	rear/vv	russia/np	ryan/np	schwartzkopf/np	scout/nn	sister/nn	somebody/pn	someone/pn	son/nn	sons/nn	stomach/nn	stranger/nn	students/nn	student/nn	taxpayer/nn	teacher/nn	team/nn	that/dd	them/pp	theory/nn	things/nn	thing/nn	thomases/np	topic/nn	trek/np	troop/nn	twins/nn	twin/nn	university/nn	us/pp	veteran/nn	veto/nn	vietnamese/nn	washington/np	white/nn	wife/nn	woman/nn	women/nn	wwf/np	you/pp
actress/nn	0.0	3.9159348	2.729287	3.4641562	2.403572	1.8850409	3.7935085	2.6101778	2.6714747	2.7714174	3.772553	3.5445926	0.5555228	3.0070832	0.6288381	2.9437296	1.2429223	0.8640857	3.673999	2.9832475	3.2793918	3.5584164	3.3452816	2.9040594	3.2194648	1.1491824	3.1823993	2.959588	2.5321822	3.3507528	3.3711371	2.1490793	2.9440281	3.9094982	3.44087	2.4228084	2.9423506	0.89212435	1.1070244	0.46100202	2.8442276	2.9978871	2.5148718	1.4663398	3.1563733	3.3911438	3.112645	3.547798	4.0719457	2.375798	2.5516613	3.3786252	2.4433599	2.9898074	1.7134687	2.0955355	0.5984625	1.1887934	3.6580503	2.9598017	0.7910509	3.1170104	3.2260604	1.3455791	1.804712	2.73737	1.8764606	2.4708514	2.255982	2.9048843	2.7444446	2.9394062	3.4891026	0.4548876	2.7986577	3.6169107	1.9733509	2.8535542	3.3027244	3.3271387	1.3223183	2.6898053	0.5542489	3.0432124	1.0340439	1.307412	0.7569011	0.97032356	1.8049896	3.3803852	1.8758268	3.2913492	2.0236063	2.1311662	2.9532053	3.251077	0.8466308	0.7881315	0.708215	2.475685	3.8284798	4.1627955	2.6688523	2.5326612	0.9848901	2.964214	2.7420626	2.1678782	3.5153515	3.4572845	3.5764894	2.9479423	2.0664945	2.378737	1.4136268	4.0255346	0.6517614	3.787165	1.5246388	0.4310403	2.3131096	2.2992036	0.6670804	2.8340056	2.134257	1.5901376	2.6193495	2.0878735	3.3661895	1.6956255	3.2114055	2.9016612	2.3927794	3.0185242	2.69857	2.8378608	0.83361924	3.1053636	0.50069207	3.777054	2.6808574	0.4791628	2.1564445	1.8443509	3.388584	3.721292	3.8631577	2.0301998	2.6294758	0.46720135	1.5699428	2.6991673	2.7349524	2.3626022
advance/vv	3.9159348	0.0	2.9449027	0.84443676	1.7424014	2.5285246	0.67551064	2.95434	2.6216893	2.9552636	0.4985609	0.59188414	3.4322941	1.2068856	4.3400607	3.6016114	3.2485628	4.185694	1.3540549	2.9349856	1.287487	1.2875892	1.317913	1.3639607	1.0317729	3.1788514	0.97868747	1.2481809	3.2395523	1.2138189	0.9924343	2.68401	3.7609468	0.47423032	1.6007124	2.4259353	3.050564	4.2006664	3.8500354	3.928449	1.4935023	3.6402016	3.1547492	3.1351535	1.3006301	1.1641611	1.5556259	0.979603	0.4053373	2.9679215	2.6447167	1.1127295	2.1348512	1.5933285	2.7719522	3.435978	4.262682	3.3147883	0.5008797	3.4778986	3.796323	0.9303888	1.434721	3.1252644	3.1690645	3.5432642	3.2649035	3.4373918	3.0796416	3.5913029	1.7316257	3.4370015	1.2568756	4.1819806	1.731977	0.59078693	2.4098353	2.878718	1.5384357	1.8029071	3.0114334	3.5893736	3.8348284	1.7685455	3.4816716	3.0412157	4.1831594	3.8227715	2.927384	1.1439632	2.1810257	1.7640971	3.36432	3.1476364	3.6058397	0.922873	3.951088	4.247937	3.8389056	2.8782628	0.41726616	0.47966757	1.9797041	3.627428	3.4837987	1.3100282	1.7227013	2.7058733	1.6496373	0.93269485	1.4950527	1.691891	3.1894543	1.9902204	2.921022	0.31680375	4.2540646	0.4879363	2.871611	4.210578	3.0385058	2.7782953	4.0485096	3.2747576	2.8636618	3.3655295	3.155354	1.9037997	1.1060727	2.3001344	0.9596452	2.8245654	2.4655788	2.4972825	3.4737618	2.891074	4.006903	1.9104667	3.58172	0.312999	3.8034198	4.0599494	2.0031333	2.82981	0.7937636	1.0658522	0.49723715	2.4442475	1.6871188	4.0525594	2.7849221	3.7185667	1.5213027	3.143523
agencies/nn	2.729287	2.9449027	0.0	2.757036	2.2094555	2.2461913	3.0602775	1.8238584	1.837865	1.7380669	2.8669424	2.6697378	2.326017	2.6110184	2.8330321	1.0204216	2.5253246	3.0724382	2.199345	0.94129056	2.8620868	2.1195793	1.8788288	2.570231	2.659558	2.4774306	2.3123693	2.4293363	0.9492319	2.8631947	2.609527	1.9773883	0.9744189	3.0520914	2.2101622	1.9196668	0.28708854	3.027974	1.9387811	2.9013352	2.194545	0.8366959	0.96617293	2.4925299	2.7124074	2.8854606	1.4441228	2.8803048	3.167839	1.7783122	1.7596972	2.5147524	1.837725	2.8071647	2.1317172	0.88479453	2.8146107	2.4871814	2.7314956	0.7823802	2.744836	2.4613016	2.8914204	2.3614118	1.880373	1.0055052	1.949373	1.239501	1.7056671	0.89588803	2.6677184	0.891697	2.2645483	2.878896	2.0760863	2.589582	2.002862	1.2565606	2.2745264	2.1666505	2.36003	0.83674276	2.7320402	1.2005594	2.3440092	2.1523418	3.0295	2.807018	2.0613055	2.8967373	2.0446293	1.9482445	1.7863113	1.684151	0.8924765	2.3288624	2.9037023	2.9969032	2.8068633	1.8573003	3.010322	3.253119	1.9911618	1.0309571	2.6888611	2.111919	1.9556891	1.9439825	2.2555156	2.8185434	2.0523932	1.8591305	0.76268166	1.7941798	2.3415082	2.9961991	3.0449212	2.7582338	2.3429139	3.0552127	1.9600854	1.9366498	2.9396849	0.9076295	2.0574276	2.1274743	0.2889991	2.1128795	2.8012671	2.1582174	2.5538619	1.5085647	1.786916	1.5180029	0.84659266	1.0953971	2.2794077	1.5931062	2.2745626	2.768973	1.1870426	2.9989336	2.1508543	1.4105643	2.5751193	2.3278775	2.6841419	1.9868593	1.9585354	2.8424013	2.0771403	1.0368403	1.7480365	1.4774479
agency/nn	3.4641562	0.84443676	2.757036	0.0	1.3057964	2.0281456	0.82846844	2.762039	2.4286714	2.779095	1.1400197	0.84295875	3.0079546	0.6305346	3.8632817	3.3653443	2.7899904	3.677895	1.3311774	2.701812	0.72180355	1.1897291	1.2071466	0.93819827	0.3592583	2.6950402	0.89591634	0.9969831	2.9375992	0.6799429	0.6541915	2.279394	3.5488603	0.8880817	1.2584916	2.0595245	2.8700998	3.712766	3.4168007	3.4566782	1.0275046	3.4601622	2.8186164	2.6866646	0.56173646	0.68320894	1.4825349	0.77818775	1.0073192	2.79921	2.5107641	0.56404966	2.0133748	1.0201334	2.3311515	3.1306782	3.7755284	2.8624437	0.4798512	3.3320804	3.3102431	0.6105089	0.8472078	2.706484	2.8359668	3.3244774	2.981907	3.211486	2.855468	3.4155598	1.1210355	3.2049205	1.1363145	3.7154486	1.3443882	1.0312653	1.9732044	2.7254133	1.1119218	1.4139603	2.5600066	3.338182	3.3554664	1.7210526	3.0425906	2.589967	3.6917822	3.3563178	2.545529	0.47421232	1.7115241	1.4932393	3.1134968	2.9211767	3.4126089	0.77846336	3.4703329	3.7613983	3.36563	2.7120326	0.86323607	1.0782405	1.7753406	3.3257024	2.9842763	1.313229	1.6140928	2.3750782	1.2692304	0.38444218	1.4984769	1.561366	2.8977747	1.8203545	2.4038422	0.9640265	3.7618906	1.0328873	2.4459274	3.7428918	2.7832718	2.5144606	3.5503955	3.0180385	2.6451669	2.9986627	2.932417	1.445018	0.5427022	1.8176287	0.6943742	2.6661675	2.2919393	2.316191	3.2333527	2.7143445	3.5515022	1.6799599	3.1606817	0.93449646	3.515957	3.5811043	1.5349053	2.558852	0.87107825	1.0819035	1.0942951	2.0531347	1.524189	3.5710297	2.3618362	3.470601	1.218171	2.9434106
aids/nn	2.403572	1.7424014	2.2094555	1.3057964	0.0	1.4465543	1.656954	2.053549	1.786124	2.1366367	1.7786407	1.5141705	2.0093243	1.0179038	2.7915912	2.833543	1.6069914	2.5356686	1.855036	2.3605044	1.3112532	1.6951805	1.5148897	1.1743344	0.9934368	1.5047474	1.0262178	1.2366672	2.377977	1.4481652	1.3952892	1.263606	2.9381506	1.7569126	1.62359	1.2104621	2.3629792	2.5585034	2.3904011	2.329232	1.1444403	2.88458	2.246611	1.5487372	1.2665812	1.3778722	1.4600357	1.3903884	1.9497027	2.0080464	1.8078711	1.3724785	1.2330526	1.2555876	1.6677426	2.3705661	2.6906252	1.6601738	1.4824086	2.7886543	2.1422226	0.850758	1.4068336	1.4956309	1.7630861	2.6630323	2.0577724	2.4621615	2.0550394	2.8173616	1.047611	2.7091415	1.6692888	2.6088784	0.9031259	1.5502398	1.4260241	2.167275	1.497479	1.6368774	1.3757945	2.7043374	2.2689652	1.5691652	1.8506047	1.7488483	2.564801	2.1961074	1.4201763	1.4206012	0.8952322	1.5363579	2.2078319	2.0907037	2.8056738	1.209216	2.3139555	2.616603	2.1937609	2.027539	1.6988064	2.0068865	1.1469746	2.6787927	1.8172492	1.0206965	1.0558944	1.3892362	1.6965394	1.4724958	1.869851	1.2830688	2.1620276	1.1345122	1.2943257	1.8819407	2.6568456	1.73259	1.242897	2.6315067	1.9416122	1.6708918	2.4181125	2.5343735	1.7945628	1.9642297	2.335414	0.56514466	1.3620789	0.80698967	1.2373049	2.1167505	1.6118147	1.9076188	2.5905342	2.1570437	2.4808428	1.51201	2.1514115	1.6778227	2.879866	2.4689503	1.0051234	1.7654942	1.384381	1.7504466	1.8053164	1.5190454	0.83691865	2.4780276	1.141425	2.802327	0.93258446	2.1793447
alan/np	1.8850409	2.5285246	2.2461913	2.0281456	1.4465543	0.0	2.4775977	2.5206332	2.382257	2.597401	2.4604201	2.0827801	1.4495472	1.5827672	2.2104814	2.8335981	1.8841316	2.1444733	2.0545313	2.5037563	2.080647	1.965628	1.8420693	1.83333	1.8948836	1.6052645	2.0368726	1.3469751	2.331265	2.1149197	2.0474477	2.028127	2.913345	2.5937815	2.010096	2.063081	2.47593	2.3554347	2.0377676	2.0210354	1.1816322	2.841071	2.2661362	1.9645829	1.8216292	2.1298575	1.8925153	2.388827	2.6979098	2.3798199	2.3198426	1.8044575	2.0275207	1.9903427	0.39867926	2.1161003	2.1056387	1.8921511	2.2876894	2.6660204	1.9642591	1.8321791	2.079664	1.8007649	2.1721632	2.774563	2.2223241	2.6349046	2.3502443	2.7649276	1.7921467	2.7258475	1.818407	2.1597288	1.9203042	2.3907633	0.3325205	2.4746063	1.7849451	1.9736044	1.7086322	2.6478128	1.6895716	1.9583408	1.9033997	0.7182331	2.2500067	2.1965175	2.0018582	1.9848653	0.6472417	2.1188526	2.3289332	2.239428	2.8681934	1.7131201	2.2107015	2.3440359	2.003613	2.4118514	2.4465528	2.8322372	2.0867138	2.5456574	1.8060327	2.062255	2.0535653	2.1039333	2.0785964	1.934365	2.0127816	2.0440083	1.8504415	1.7898095	1.5921918	2.6624787	2.1081667	2.3535032	1.7444692	2.1935606	2.4131331	2.2377052	2.054419	2.569607	2.21091	2.13576	2.2563734	0.93629694	2.1358702	0.8881124	1.6507518	2.4927387	2.127464	2.3383806	2.640448	2.4446049	2.0643175	2.0257742	1.6047504	2.3718126	2.7615902	2.1338398	0.56479764	1.5663192	1.9022366	2.1399095	2.438419	0.47354996	1.9083619	1.9254206	1.6641444	2.7869227	1.6417292	2.3402524
america/np	3.7935085	0.67551064	3.0602775	0.82846844	1.656954	2.4775977	0.0	3.1341448	2.8064573	3.1574686	0.98927337	0.90664935	3.322497	0.99950993	4.2498803	3.700513	3.1252768	4.036081	1.6354908	3.0300145	0.867001	1.4945743	1.5162567	1.1920598	0.94600576	3.0383832	1.1795411	1.2890304	3.3140986	0.9295357	0.69661343	2.6721535	3.8878522	0.2830785	1.8771322	2.4690323	3.1750042	4.081593	3.8092763	3.7950952	1.5854847	3.798456	3.1797843	3.0297053	1.1457199	0.69970155	1.6934798	0.5788584	0.5041574	3.1329424	2.8337903	1.2843993	2.2673125	1.2510791	2.7423017	3.492001	4.1583366	3.198993	0.7184494	3.6748447	3.6649938	0.88548106	1.0854837	3.059731	3.1848607	3.6706824	3.35804	3.5659745	3.2216907	3.7696862	1.3912188	3.5344553	1.4965742	4.08506	1.8028648	1.0394194	2.3832557	3.1077685	1.7798005	2.0622604	2.8937652	3.677434	3.727351	1.9511963	3.3812668	2.987836	4.035802	3.708946	2.8970072	0.9095553	2.1023772	2.0250168	3.48364	3.291776	3.7485623	1.1171037	3.825614	4.131961	3.7134104	3.0563886	0.35872832	0.5493265	2.116615	3.6842768	3.3370287	1.4782144	1.8732694	2.7413013	1.903626	0.9411557	1.795036	1.9387604	3.2542615	2.1262693	2.735284	0.6047693	4.128756	0.92578053	2.7683864	4.0699763	3.1556795	2.8955262	3.9049332	3.3607576	2.9771755	3.3967853	3.2516763	1.8235095	0.898814	2.1837842	1.0460048	3.065235	2.61931	2.7546322	3.5966272	3.1045644	3.9479282	2.1490605	3.489424	0.8826102	3.867401	3.8975885	1.947168	2.9460003	1.0217575	1.3841156	1.018355	2.4634492	1.7794	3.9453986	2.6920178	3.821888	1.420192	3.3166668
anybody/pn	2.6101778	2.95434	1.8238584	2.762039	2.053549	2.5206332	3.1341448	0.0	0.3610617	0.23197524	2.8326159	2.8645318	2.3543775	2.7688103	2.7234273	2.1446533	1.9332385	2.862403	2.7200794	2.0559237	2.8906405	2.6914	2.4485686	2.4001126	2.589174	2.2040167	2.0322764	2.6354508	1.9321597	2.8857436	2.8320456	1.1836089	2.0499156	3.079148	2.1590817	1.0522294	1.8948761	2.5573773	2.0907862	2.5926523	2.374799	1.96531	2.0598996	1.7309191	2.7393384	2.9940066	2.1739402	2.78164	3.2392287	0.37246534	0.41582233	2.5870872	1.0322067	2.684672	2.468143	1.9010785	2.7552361	1.9258058	2.6790047	1.8714066	2.484971	2.4532561	2.8648021	1.7655627	1.0230088	1.5971841	0.81834793	1.1435254	0.44946608	1.7431664	2.596732	2.1378942	2.7129533	2.6078413	1.5313365	2.4279764	2.4422858	0.7690107	2.256627	2.0052414	1.8817432	2.0378861	2.5636375	1.9398931	1.9157059	2.3694558	2.7127485	2.1916656	1.2477564	2.9717727	2.25045	1.7013341	0.77467436	0.6281272	1.8528664	2.5824761	2.3872664	2.596006	2.4453857	0.40746477	3.1047487	3.2682364	1.0971234	2.148088	2.3486333	1.741245	1.3363991	0.91741544	2.2412565	2.920136	2.544177	1.2926719	1.8675607	1.1404973	2.1327066	3.02654	2.8825667	2.9696941	1.7660275	2.844063	0.40493965	0.5099946	2.695719	2.075552	0.69807005	1.144487	1.9499074	2.152477	2.7268174	2.1498895	2.7770398	0.63557845	0.67629087	0.9319492	1.6442378	0.90364087	2.265626	1.5102516	2.301268	2.8283544	2.2294812	2.7948854	2.401996	1.2126817	2.8225138	2.6842206	2.89518	2.3413367	1.4671292	2.6502578	1.6415967	1.901966	2.1650617	0.60632133
anyone/pn	2.6714747	2.6216893	1.837865	2.4286714	1.786124	2.382257	2.8064573	0.3610617	0.0	0.42944148	2.5219269	2.55791	2.373723	2.4706235	2.8413196	2.2344558	1.9039865	2.9153469	2.458671	2.023297	2.5777462	2.4239728	2.1884465	2.1052108	2.2584212	2.1502001	1.692827	2.3663063	1.9726111	2.57262	2.5256352	1.0472699	2.1906037	2.7480884	1.8699235	0.8218882	1.9140697	2.6436677	2.2188473	2.639729	2.110783	2.0998664	2.0636675	1.6869898	2.4303763	2.6789925	1.9467741	2.449408	2.9106019	0.5790199	0.36228052	2.2729924	0.79871655	2.39054	2.3791282	2.0028296	2.8536153	1.9143534	2.339582	1.9964262	2.5158877	2.1322567	2.5594645	1.7351152	1.1061289	1.7506161	1.0082134	1.3487076	0.6847546	1.9020941	2.3178608	2.1983318	2.4434793	2.7055109	1.1979502	2.1033137	2.3055143	0.8428981	1.9679884	1.728851	1.8177533	2.1460235	2.608183	1.7428144	1.9558476	2.325136	2.7840025	2.250098	1.2021984	2.6546004	2.0736256	1.4083791	1.0356661	0.85623	1.9868585	2.285725	2.4480925	2.6915803	2.4881644	0.5292858	2.7801526	2.9346945	0.76360345	2.2444022	2.3301291	1.424457	1.0221884	0.803758	1.9534588	2.601869	2.3019822	0.96389484	1.9293671	0.8924318	2.0346029	2.696822	2.9552317	2.6623113	1.6765058	2.9153721	0.55624735	0.4535958	2.7484033	2.1078336	0.7270694	1.2680492	1.9938669	1.9310565	2.401313	1.9792272	2.4798903	0.67196137	0.5280238	0.79302955	1.7754724	0.9634597	2.3914099	1.2551249	2.3548648	2.5093267	2.347709	2.8421652	2.2020187	1.25034	2.5249488	2.394525	2.588619	2.2173307	1.1664037	2.72088	1.5517653	2.0512364	1.9122396	0.8509507
anything/pn	2.7714174	2.9552636	1.7380669	2.779095	2.1366367	2.597401	3.1574686	0.23197524	0.42944148	0.0	2.8468366	2.8765192	2.4989958	2.8156402	2.8710248	2.06286	2.115413	3.0241654	2.658085	1.9748609	2.937734	2.6378992	2.4000673	2.4691439	2.6239455	2.3662176	2.0525043	2.6699343	1.8889295	2.92839	2.8541765	1.2993059	1.9555541	3.09247	2.1001756	1.1340553	1.786844	2.7357829	2.194843	2.7693448	2.391306	1.8548238	2.0251472	1.9188055	2.7796466	3.0333543	2.1271088	2.812555	3.2467694	0.5352719	0.51670706	2.5805671	1.1363044	2.7570782	2.545012	1.8902104	2.900912	2.1043255	2.681962	1.7590173	2.653609	2.4878592	2.9195464	1.9443786	1.1805162	1.5167396	1.0053082	1.1106398	0.5983363	1.6346151	2.6770158	2.0532641	2.6760159	2.7729394	1.5644083	2.4315526	2.5030522	0.59540206	2.2230566	1.9479152	2.0540006	1.97109	2.7188213	1.8797939	2.0806384	2.4706728	2.8824186	2.3798468	1.4083539	3.007376	2.339403	1.6272607	0.9045038	0.7531767	1.7460662	2.5853665	2.5713875	2.7695105	2.6219416	0.56293845	3.1212595	3.275679	1.168251	2.1067543	2.520887	1.7800893	1.392395	1.0596396	2.1770713	2.9408503	2.4768867	1.2836221	1.857094	1.2327197	2.2809064	3.021607	3.0421193	2.9685442	1.9339329	3.0155327	0.61955863	0.7015763	2.8617787	2.0037909	0.9171113	1.3338183	1.8789978	2.242496	2.7634077	2.2658372	2.801965	0.45000294	0.8077108	0.7832358	1.5588394	0.7404264	2.3934407	1.4221237	2.4429314	2.827495	2.1820366	2.967719	2.4725509	1.2854853	2.8393273	2.6310592	2.8786433	2.3969216	1.5336632	2.8094134	1.7917337	1.8352131	2.184029	0.623281
